name,price,rating,rating_amount,brand,model,ASIN,_connection_,_type_,_battery_,_microphone_,_noise_,_water_,_UPC_
Audeze LCD-3 Over Ear Open Back Headphone Zebrano Wood Rings with New Suspension Headband … Leather Free,1945,,,Audeze,,B01GVDRLPG,0,over,,1,,,
Women's Teen Girls Scooby Natural Foldable Headphones Over Ear Headset Wired Headphones Classic Earphone Receiver Headphone for Mens Gaming,22.99,,,,,B08LQ5ZG4W,0,over,,0,reduct,,
"XHN Over Ear Wireless Headphones, Sports Wireless Earbuds Sweatproof Headset Magnetic Attraction Stereo Earphones Protein Earmuffs for Cell Phone TV PC",219.99,,,XHN,,B07YLJGD3K,1,in,36,1,,,
"Star Wars The Child Wired Headphones Clear Stereo Sound Parental Volume Control, Aux Cable, The Mandalorian Kids Headphones for Kids Toddlers Children Ages 4 and Up",19.99,4.3,13,,,B08BQX54L6,0,over,,0,,,
"Over Ear Headphones with Mic, Jungle Night Comfortable Head-Mounted Ear Protector Bass Stereo Wired Headphones for Travel/Work/TV/Computer/Cellphone- Big Sound, Great Bass",23.99,,,,,B08MTCKCPK,0,,,0,,,
"Unicorns Headphones Kids Cat Ear Bluetooth Headphones Wireless Foldable Headset with Mic Support TF Card, Aux in",23.99,4.1,99,JINSERTA,,B07VPDPQYJ,1,,,1,,,
Stereo Gaming Headset LED Light Bass with Surround Noise Cancelling Over-Ear Headphones Mic for PS4/PC/Switch/Xbox,79.99,,,HKYL,,B08KZHJWLC,0,,,1,,,
Fun-neh and Krew Over The Ear Headphone Wired Subwoofer Stereo Headphones Graphic Black,,2,1,HYFbcz,,B07ZVKMLVT,0,over,,0,,,
"SIMOLIO 2.4GHz Digital Wireless Headphones for TV/PC, with Audio Share, Hearing Protection TV Headphone with Voice Highlighting and Automatic Signal Control, No Delay, 100 ft Work Range, Tone Options",,4.6,9,SIMOLIO,,B082KRMRRC,1,over,10,1,reduct,,
"ONANOFF BuddyPhones Discover, Volume-Limiting Kids Headphones, Comfortable and Durable, Built-in Audio Sharing Cable, Compatible with Fire, iPad, iPhone, and Android Devices, Blue and Pink",24.99,4,453,ONANOFF,,B07G3J3MN1,0,,,0,,,
"NOCTIC Ps4 Wireless Surround Sound Headset, Wireless Headphones Over Ear with Sound Mic Deep Bass, Wireless and Wired Headphones for PC/Cell Phones/TV/Ipad",1699.99,,,NOCTIC,,B07ZVBJZ6N,1,over,20,1,,,
"Wireless Bluetooth Headphones for Kids, MeihuaTu Foldable Hi-Fi Stereo Headset Built-in Microphone for Android Tablets TV (Red)",,3.8,183,MeihuaTu,,B07LF268C4,1,over,,1,reduct,,
"Over Ear Headphones with Mic, F-airy Tail Logo 19 Comfortable Head-Mounted Ear Protector Bass Stereo Wired Headphones for Travel/Work/TV/Computer/Cellphone- Big Sound, Great Bass",23.99,,,,,B08MKVDN2G,0,,,0,,,
CestMall Bluetooth Beanie Cap Wireless Music Hat Thicken USB Rechargeable Warm Stretchy Built-in Double Headphone Headset Voice Prompt Super Bass Stereo Music Answering Phone Call with Power Display,15.99,,,,,,1,,60,0,,,
"Master & Dynamic MW65 Active Noise-Cancelling (Anc) Wireless Headphones – Bluetooth Over-Ear Headphones with Mic, Silver Metal/ Brown Leather (Renewed)",,,,MASTER & DYNAMIC,,B08LGHP73V,1,over,,0,,,
"Kids Headphones,Besom i66 for Boys Girls Teens Children Toddler Stereo Adjustable Foldable Tangle-Free Cord 3.5mm Jack Wired Over-Ear Headset for iPad iPhone Computer MP3/4 Kindle Tablet (Red)",19.99,4.5,498,Besom,,B07PDWVVCT,0,over,,1,,,
"TeaBoy Dual Driver 10 Hours Wireless Headphones Over Ear, EQ Deep Bass HiFi Stereo Bluetooth Headphones with HD Mic, TF Card, FM Radio, Soft Protein Earpads for Gym Travel Work Cellphone TV PC",23.99,,,TeaBoy,,,1,over,240,1,reduct,,
Wireless Over Ear Bluetooth Headphones Active Noise Cancelling Bluetooth 4.0 Microphone Memory Foam Ear Cups Wireless Headset Lightweight Rechargeable Foldable,,,,N&F,,B08M65BZY4,1,over,12,1,,,
Wing Narwhal Art Customized Wireless Retractable Bluetooth Headphones Headsets Over Ear for Kids Or Adults White,,,,Phoenix Powell88,,B07TVWMSNZ,1,over,,1,reduct,,
"DURAGADGET Lightweight & Ultra-Portable, Passive Noise-Cancelling, Stereo Over-Ear Headphones for Apple iPad / 2, 3, 4 / iPad Mini, 2, 3 / iPad Air, 2, Maxi/MacBook Pro/iPad Pro 9.7"" & 12.9""",,,,DURAGADGET,,B00OKIR3LC,0,over,,1,,,
Women's/Adults Teen Girls Mega-Man-X Foldable Headphones Over Ear Headset Wired Headphones Classic Earphone Receiver Headphone for Womenswork,22.99,,,,,B08MTKVKY2,0,,,0,reduct,,
CestMall Bluetooth Beanie Cap Wireless Music Hat Thicken USB Rechargeable Warm Stretchy Built-in Double Headphone Headset Voice Prompt Super Bass Stereo Music Answering Phone Call with Power Display,15.99,,,,,,1,,60,0,,,
Wireless Over Ear Bluetooth Headphones Active Noise Cancelling Bluetooth 5.0 Microphone Over Ear Quick Charge Wireless Headset Memory Foam Ear Cups,,,,N&F,,B08MC71V7J,1,over,,0,,,
SANON Kids Safe Volume Limiting Headphones Over The Ear with 85dB Volume Limited Cute Headset(Pink),16.49,,,SANON,,B08MFMS9KJ,0,,,0,,,
Headphone Dj Octopus Lightweight Headset Wired Headphones with Mic Over Ear Fashion Men's Stereo Headsets for Home Smartphone and Tv 3.5Mm,21.99,,,,,B08LVFFPT7,0,on,,0,,,
"Wireless Headphones, Colorful LED Lights Adjustable Headband, Over-Ear Wireless 4.2 with Microphone and Volume Support for iPhone/iPad/Smartphones/Laptop/PC/TV(Bear)",,,,SAYESON,,B08F7QXH97,1,over,,1,,,
DURAGADGET Lightweight Black & Grey Over-Ear Headphones - Compatible with Samsung Galaxy A80 | A20 | A20E | A40 | A70 & J4 Plus Smartphones,,,,DURAGADGET,A40,B07WLLDMKK,0,over,,1,,,
"XHN Wireless Noise Canceling Over-Ear Headphones - Wireless Gaming Headset, Comfortable Protein Ear Pad Foldable Headphones for Travel/Work-red",282.99,,,XHN,,B07VJ49DLJ,1,over,15,1,reduct,,
"Noise Cancelling Headphones,Wireless Over Ear Bluetooth Headphones, Comfortable Protein Earpads, Wired/Wireless Headset for Home Office",,,,Kajiali,,B08KY383BS,1,over,,1,cancel,,
"Pusokei Over Ear Foldable Wireless/Wired Headphone, Noise-Cancelling HiFi Headset, FM Radio with LCD Display and Flexible Antenna, for Audio Room, Learning Center, Computer Room",13.79,,,,,B08KWD8J6W,1,,,0,,,
Wireless Over Ear Bluetooth Headphones Active Noise Cancelling Bluetooth 5.0 Microphone Rechargeable Lightweight Comfortable Memory Foam Ear Cups HiFi Stereo Headset,,,,N&F,,B08MC75WFJ,1,over,,0,,,
"XOTUUY Sleep Headphones Bluetooth Eye Mask,Tech Gadgets Sleeping Headphones for Side Sleepers, 3D Sleep Eye Mask with Ultra-Thin HD Stereo Speakers Perfect for Sleeping, Air Travel, Meditation",23.99,4.7,47,XOTUUY,,B08GC5BL8R,1,,24,1,,,
"Over Ear Headphones with Mic, Abstract Spiral Blue Purple Comfortable Head-Mounted Ear Protector Bass Stereo Wired Headphones for Travel/Work/TV/Computer/Cellphone- Big Sound, Great Bass",23.99,,,,,B08MPV7WCR,0,,,0,,,
Mobile Wireless Bluetooth My Hero-ACA Customized Over Ear Headphones Black,,,,AMAOZNBSTEER,,B07L3R96BV,0,over,,1,cancel,,
Audio-Technica ATH-WS99 Solid Bass Over-Ear Headphones (Japan Import Version),179.99,,,Audio-Technica,,B00UWGP0RU,0,over,,1,,,
Bowers & Wilkins P3 Headphones - White/Grey,,3.7,381,Bowers & Wilkins,P3,B0082471N0,0,on,,1,isolate,,
TeaBoy Wireless Wired Bluetooth Headphones Over Ear Cat Ear Headphones with LED Light Foldable Built-in Mic and Volume Control for Cell Phones/iPhone/iPad/Laptop/PC/TV Kids Boys Girls Friends,27.99,,,TeaBoy,,,1,over,,1,,,
Wireless Over Ear Bluetooth Headphones Active Noise Cancelling Bluetooth 5.0 Over Ear Quick Charge Wireless Headset Comfortable Lightweight,,,,N&F,,B08MC72GTW,1,over,,1,,,
H&H Official Blue Classic Megaman Headphone,,5,3,Home & Happiness,,B06X6K9PDZ,0,over,,0,cancel,,
Mobile Wireless Bluetooth Garrix-Martin Customized Over Ear Headphones Black,,,,5NM3F87UJJ,,B07Z3SBKMK,1,over,,0,,,
Avengers Infinity War Headphones for Kids with Built in Volume Limiting Feature for Kid Friendly Safe Listening,30,4.3,46,EKids,AV-140v8M,B079M27C6B,0,over,,0,,,
Hamilton Buhl Kid's Durable Flex-Phones Foam Headphones Kindergarten Purple (Kids-PPL),26.86,3.7,12,HamiltonBuhl,"HamiltonBuhl KIDS-PPL Flex-Phones Foam Headphones, Purple, Kindergarten Grade to 3 Grade",,0,over,,0,,,
TAOZG Bluetooth Headphones Over Ear Wireless Headset 57mm Drive HiFi Bluetooth Earphone with mic for Phone Music Sports (Color : Black),92.52,,,,,B08MXJZRZ1,1,on,,1,isolate,,
