name,brand,model,sku,price,rating,rating_amount,_connection_,_type_,_battery_,_microphone_,_noise_,_water_,_UPC_
Sony - 1000X Premium Wireless Noise Cancelling Behind-the-Neck Headphones - Black,Sony,WI1000X/B,6029012,299.99,4.2,274,1,in,10,1,cancel,resist,
JAM - Live Loud True Wireless Earbud Headphones - Black,JAM,HX-EP410,6359334,39.99,3.7,3,1,in,12,1,isolate,resist,
Sony - EX14AP Wired Earbud Headphones - Black,Sony,MDREX14AP/B,5739305,7.49,4.3,4792,0,in,,1,isolate,resist,
Beats by Dr. Dre - Solo Pro More Matte Collection Wireless Noise Cancelling On-Ear Headphones - Dark Blue,Beats by Dr. Dre,MRJA2LL/A,6383120,179.99,4.6,664,1,on,22,1,cancel,,
Sony - MDRXB50 Wired Earbud Headphones - Black,Sony,MDRXB50AP/B,4909005,29.99,4.5,6089,0,in,,1,isolate,resist,
Innovative Technology - ITHW-858B Wireless Over-the-Ear Headphones - Black,Innovative Technology,ITHW-858B,5885200,24.99,3.3,28,1,,,0,isolate,,
Audio-Technica - ATH-M20x Monitor Headphones - Black,Audio-Technica,AUD ATHM20X,4725008,49.99,4.3,15,0,on,,1,isolate,resist,
V-MODA - Crossfade LP2 Wired Over-the-Ear Headphones - Matte Black,V-MODA,XFL2V-U-MBLACK,2961241,149.98,4.5,23,0,,,1,isolate,resist,
Audio-Technica - ATH Premium Wired Stereo Gaming Headset - Black,Audio-Technica,AUD ATHPG1,5667711,129,5,1,0,,,1,isolate,resist,
Jabra Elite 85t True wireless earbuds with Jabra Advanced ANC™ - Titanium Black,Jabra,100-99190000-02,6432287,229.99,4,52,1,in,5.5,1,cancel,resist,
JBL - LIVE 400BT Wireless On-Ear Headphones - Black,JBL,JBLLIVE400BTBLKAM,6339236,49.99,4.5,419,1,on,24,1,isolate,,
MEE audio - X6 Wireless In-Ear Headphones - Black,MEE audio,EP-X6G2-BK,6353877,39.99,,,1,in,9,1,isolate,resist,
JBL - Kids On-Ear Wireless Headphones - Pink,JBL,JBLJR300BTPIKAM,6428214,39.99,,,1,on,12,0,isolate,,
Skullcandy - Icon Wireless On-Ear Headphones - Stone,Skullcandy,S5IBW-L650,6411925,42.99,,,1,on,10,1,cancel,,
Bang & Olufsen - Beoplay H3 Wired In-Ear Headphones - Black,Bang & Olufsen,50373BCW,6175500,149.99,1,1,0,in,,1,isolate,,
TCL - MTRO series MTRO200RD Wired On-Ear Headphones - Burgundy Crush,TCL,MTRO200RDNA,6392370,17.99,5,2,0,on,,1,isolate,,
JBL - Kids On-Ear Wired Headphones - Blue,JBL,JBLJR300BLUAM,6428213,19.99,,,0,on,,0,isolate,,
1MORE - EHD9001TA True Wireless Noise Cancelling In-Ear Headphones - Black,1MORE,ANC-TW1,6408366,199.99,4,1,1,in,6,1,cancel,,
Jabra - Elite Active 75t True Wireless In-Ear Headphones - mint,Jabra,100-99091002-02,6432019,199.99,4.2,863,1,in,,0,isolate,,6.15822E+11
Jaybird - Tarah Wireless In-Ear Headphones - Black Metallic/Flash,Jaybird,985-000704,6289922,35.99,4.2,1006,1,in,6,1,isolate,resist,
Bang & Olufsen - Beoplay E8 3rd Gen Earphones - Black,Bang & Olufsen,53520BBR,6405595,349.99,4.2,33,1,in,7,1,cancel,,
JLab Audio - Studio Wireless On-Ear Headphones - Black,JLab Audio,HBASTUDIORBLK4,6344796,29.99,4.3,696,1,on,30,1,isolate,,
Sennheiser - MOMENTUM True Wireless 2 Noise Cancelling Earbud Headphones - Black,Sennheiser,M3IETW2 BLACK,6405291,299.98,4.2,188,1,in,7,1,cancel,resist,
KIDdesigns - eKids Ryan's World Wireless Over the Ear Headphones - blue,KIDdesigns,RW-B50.EXv0,6424165,29.99,4,5,1,,,0,isolate,,92298949628
JBL - TUNE 600BTNC Wireless Noise Cancelling On-Ear Headphones - White,JBL,JBLT600BTNCWHTAM,6391294,63.99,4.7,24,1,on,22,1,cancel,,
JBL - Tune 225TWS - Black,JBL,JBLT225TWSBLKAM,6423274,49.99,2.7,7,1,in,25,1,isolate,,
Sony - WH-CH510 Wireless On-Ear Headphones - Black,Sony,WHCH510/B,6359775,59.99,4.5,868,1,on,35,1,isolate,,
Philips - ActionFit Wireless Sports In-Ear Headphone- Black - Black,Philips,TAST702BK/27,6422040,99,,,1,in,18,1,isolate,resist,
Samsung - Galaxy Buds+ True Wireless Earbud Headphones - Black,Samsung,SM-R175NZKAXAR,6400885,119.99,4.6,4292,1,in,7.5,1,isolate,resist,
Sennheiser - HD 100 Wired On-Ear Headphones - Black,Sennheiser,HD 100,6332548,39.99,4.6,5,0,on,,0,isolate,,
Bose - Sport Earbuds – True Wireless Bluetooth In-Ear Headphones - Triple Black,Bose,805746-0010,6419302,179,4.3,177,1,in,10,1,isolate,resist,
BuddyPhones - School+ Wired On-Ear Headphones - Blue,BuddyPhones,24752VRP,6432428,29.99,5,1,0,on,,1,isolate,,
JBL - Reflect Contour 2 Wireless In-Ear Headphones - Black,JBL,JBLREFCONTOUR2BLK,6197133,99.99,4,697,1,in,10,1,isolate,,
