name,price,rating,num_rating,brand,model,_connection_,_type_,_battery_,_microphone_,_noise_,_water_,retailer,is_success
Audeze LCD-3 Over Ear Open Back Headphone Zebrano Wood Rings with New Suspension Headband … Leather Free,1945.0,,,Audeze,,0.0,over,,1.0,,,amazon,
Women's Teen Girls Scooby Natural Foldable Headphones Over Ear Headset Wired Headphones Classic Earphone Receiver Headphone for Mens Gaming,22.99,,,,,0.0,over,,0.0,reduct,,amazon,
"XHN Over Ear Wireless Headphones, Sports Wireless Earbuds Sweatproof Headset Magnetic Attraction Stereo Earphones Protein Earmuffs for Cell Phone TV PC",219.99,,,XHN,,1.0,in,36.0,1.0,,,amazon,
"Star Wars The Child Wired Headphones Clear Stereo Sound Parental Volume Control, Aux Cable, The Mandalorian Kids Headphones for Kids Toddlers Children Ages 4 and Up",19.99,4.3,13.0,,,0.0,over,,0.0,,,amazon,True
"Over Ear Headphones with Mic, Jungle Night Comfortable Head-Mounted Ear Protector Bass Stereo Wired Headphones for Travel/Work/TV/Computer/Cellphone- Big Sound, Great Bass",23.99,,,,,0.0,,,0.0,,,amazon,
"Unicorns Headphones Kids Cat Ear Bluetooth Headphones Wireless Foldable Headset with Mic Support TF Card, Aux in",23.99,4.1,99.0,JINSERTA,,1.0,,,1.0,,,amazon,True
Stereo Gaming Headset LED Light Bass with Surround Noise Cancelling Over-Ear Headphones Mic for PS4/PC/Switch/Xbox,79.99,,,HKYL,,0.0,,,1.0,,,amazon,
Fun-neh and Krew Over The Ear Headphone Wired Subwoofer Stereo Headphones Graphic Black,,2.0,1.0,HYFbcz,,0.0,over,,0.0,,,amazon,False
"SIMOLIO 2.4GHz Digital Wireless Headphones for TV/PC, with Audio Share, Hearing Protection TV Headphone with Voice Highlighting and Automatic Signal Control, No Delay, 100 ft Work Range, Tone Options",,4.6,9.0,SIMOLIO,,1.0,over,10.0,1.0,reduct,,amazon,True
"ONANOFF BuddyPhones Discover, Volume-Limiting Kids Headphones, Comfortable and Durable, Built-in Audio Sharing Cable, Compatible with Fire, iPad, iPhone, and Android Devices, Blue and Pink",24.99,4.0,453.0,ONANOFF,,0.0,,,0.0,,,amazon,True
"NOCTIC Ps4 Wireless Surround Sound Headset, Wireless Headphones Over Ear with Sound Mic Deep Bass, Wireless and Wired Headphones for PC/Cell Phones/TV/Ipad",1699.99,,,NOCTIC,,1.0,over,20.0,1.0,,,amazon,
"Wireless Bluetooth Headphones for Kids, MeihuaTu Foldable Hi-Fi Stereo Headset Built-in Microphone for Android Tablets TV (Red)",,3.8,183.0,MeihuaTu,,1.0,over,,1.0,reduct,,amazon,False
"Over Ear Headphones with Mic, F-airy Tail Logo 19 Comfortable Head-Mounted Ear Protector Bass Stereo Wired Headphones for Travel/Work/TV/Computer/Cellphone- Big Sound, Great Bass",23.99,,,,,0.0,,,0.0,,,amazon,
CestMall Bluetooth Beanie Cap Wireless Music Hat Thicken USB Rechargeable Warm Stretchy Built-in Double Headphone Headset Voice Prompt Super Bass Stereo Music Answering Phone Call with Power Display,15.99,,,,,1.0,,60.0,0.0,,,amazon,
"Master & Dynamic MW65 Active Noise-Cancelling (Anc) Wireless Headphones – Bluetooth Over-Ear Headphones with Mic, Silver Metal/ Brown Leather (Renewed)",,,,MASTER & DYNAMIC,,1.0,over,,0.0,,,amazon,
"Kids Headphones,Besom i66 for Boys Girls Teens Children Toddler Stereo Adjustable Foldable Tangle-Free Cord 3.5mm Jack Wired Over-Ear Headset for iPad iPhone Computer MP3/4 Kindle Tablet (Red)",19.99,4.5,498.0,Besom,,0.0,over,,1.0,,,amazon,True
"TeaBoy Dual Driver 10 Hours Wireless Headphones Over Ear, EQ Deep Bass HiFi Stereo Bluetooth Headphones with HD Mic, TF Card, FM Radio, Soft Protein Earpads for Gym Travel Work Cellphone TV PC",23.99,,,TeaBoy,,1.0,over,240.0,1.0,reduct,,amazon,
Wireless Over Ear Bluetooth Headphones Active Noise Cancelling Bluetooth 4.0 Microphone Memory Foam Ear Cups Wireless Headset Lightweight Rechargeable Foldable,,,,N&F,,1.0,over,12.0,1.0,,,amazon,
Wing Narwhal Art Customized Wireless Retractable Bluetooth Headphones Headsets Over Ear for Kids Or Adults White,,,,Phoenix Powell88,,1.0,over,,1.0,reduct,,amazon,
"DURAGADGET Lightweight & Ultra-Portable, Passive Noise-Cancelling, Stereo Over-Ear Headphones for Apple iPad / 2, 3, 4 / iPad Mini, 2, 3 / iPad Air, 2, Maxi/MacBook Pro/iPad Pro 9.7"" & 12.9""",,,,DURAGADGET,,0.0,over,,1.0,,,amazon,
Women's/Adults Teen Girls Mega-Man-X Foldable Headphones Over Ear Headset Wired Headphones Classic Earphone Receiver Headphone for Womenswork,22.99,,,,,0.0,,,0.0,reduct,,amazon,
CestMall Bluetooth Beanie Cap Wireless Music Hat Thicken USB Rechargeable Warm Stretchy Built-in Double Headphone Headset Voice Prompt Super Bass Stereo Music Answering Phone Call with Power Display,15.99,,,,,1.0,,60.0,0.0,,,amazon,
Wireless Over Ear Bluetooth Headphones Active Noise Cancelling Bluetooth 5.0 Microphone Over Ear Quick Charge Wireless Headset Memory Foam Ear Cups,,,,N&F,,1.0,over,,0.0,,,amazon,
SANON Kids Safe Volume Limiting Headphones Over The Ear with 85dB Volume Limited Cute Headset(Pink),16.49,,,SANON,,0.0,,,0.0,,,amazon,
Headphone Dj Octopus Lightweight Headset Wired Headphones with Mic Over Ear Fashion Men's Stereo Headsets for Home Smartphone and Tv 3.5Mm,21.99,,,,,0.0,on,,0.0,,,amazon,
"Wireless Headphones, Colorful LED Lights Adjustable Headband, Over-Ear Wireless 4.2 with Microphone and Volume Support for iPhone/iPad/Smartphones/Laptop/PC/TV(Bear)",,,,SAYESON,,1.0,over,,1.0,,,amazon,
DURAGADGET Lightweight Black & Grey Over-Ear Headphones - Compatible with Samsung Galaxy A80 | A20 | A20E | A40 | A70 & J4 Plus Smartphones,,,,DURAGADGET,A40,0.0,over,,1.0,,,amazon,
"XHN Wireless Noise Canceling Over-Ear Headphones - Wireless Gaming Headset, Comfortable Protein Ear Pad Foldable Headphones for Travel/Work-red",282.99,,,XHN,,1.0,over,15.0,1.0,reduct,,amazon,
"Noise Cancelling Headphones,Wireless Over Ear Bluetooth Headphones, Comfortable Protein Earpads, Wired/Wireless Headset for Home Office",,,,Kajiali,,1.0,over,,1.0,cancel,,amazon,
"Pusokei Over Ear Foldable Wireless/Wired Headphone, Noise-Cancelling HiFi Headset, FM Radio with LCD Display and Flexible Antenna, for Audio Room, Learning Center, Computer Room",13.79,,,,,1.0,,,0.0,,,amazon,
Wireless Over Ear Bluetooth Headphones Active Noise Cancelling Bluetooth 5.0 Microphone Rechargeable Lightweight Comfortable Memory Foam Ear Cups HiFi Stereo Headset,,,,N&F,,1.0,over,,0.0,,,amazon,
"XOTUUY Sleep Headphones Bluetooth Eye Mask,Tech Gadgets Sleeping Headphones for Side Sleepers, 3D Sleep Eye Mask with Ultra-Thin HD Stereo Speakers Perfect for Sleeping, Air Travel, Meditation",23.99,4.7,47.0,XOTUUY,,1.0,,24.0,1.0,,,amazon,True
"Over Ear Headphones with Mic, Abstract Spiral Blue Purple Comfortable Head-Mounted Ear Protector Bass Stereo Wired Headphones for Travel/Work/TV/Computer/Cellphone- Big Sound, Great Bass",23.99,,,,,0.0,,,0.0,,,amazon,
Mobile Wireless Bluetooth My Hero-ACA Customized Over Ear Headphones Black,,,,AMAOZNBSTEER,,0.0,over,,1.0,cancel,,amazon,
Audio-Technica ATH-WS99 Solid Bass Over-Ear Headphones (Japan Import Version),179.99,,,Audio-Technica,,0.0,over,,1.0,,,amazon,
Bowers & Wilkins P3 Headphones - White/Grey,,3.7,381.0,Bowers & Wilkins,P3,0.0,on,,1.0,isolate,,amazon,False
TeaBoy Wireless Wired Bluetooth Headphones Over Ear Cat Ear Headphones with LED Light Foldable Built-in Mic and Volume Control for Cell Phones/iPhone/iPad/Laptop/PC/TV Kids Boys Girls Friends,27.99,,,TeaBoy,,1.0,over,,1.0,,,amazon,
Wireless Over Ear Bluetooth Headphones Active Noise Cancelling Bluetooth 5.0 Over Ear Quick Charge Wireless Headset Comfortable Lightweight,,,,N&F,,1.0,over,,1.0,,,amazon,
H&H Official Blue Classic Megaman Headphone,,5.0,3.0,Home & Happiness,,0.0,over,,0.0,cancel,,amazon,True
Mobile Wireless Bluetooth Garrix-Martin Customized Over Ear Headphones Black,,,,5NM3F87UJJ,,1.0,over,,0.0,,,amazon,
Avengers Infinity War Headphones for Kids with Built in Volume Limiting Feature for Kid Friendly Safe Listening,30.0,4.3,46.0,EKids,AV-140v8M,0.0,over,,0.0,,,amazon,True
Hamilton Buhl Kid's Durable Flex-Phones Foam Headphones Kindergarten Purple (Kids-PPL),26.86,3.7,12.0,HamiltonBuhl,"HamiltonBuhl KIDS-PPL Flex-Phones Foam Headphones, Purple, Kindergarten Grade to 3 Grade",0.0,over,,0.0,,,amazon,False
TAOZG Bluetooth Headphones Over Ear Wireless Headset 57mm Drive HiFi Bluetooth Earphone with mic for Phone Music Sports (Color : Black),92.52,,,,,1.0,on,,1.0,isolate,,amazon,
"3.5mm Over-The-Ear Wired Hands-Free Boom Headset Mono Headphone Single Earphone with Microphone for iPad 1 2 3 4, iPad 5, iPad Air/Air 2, iPad Mini/Mini 2 / Mini 3 / Mini with Retina Display",24.99,2.7,17.0,Fonus,,0.0,over,,1.0,,,amazon,False
"Wireless Bluetooth Headphones for Kids, Adorable Cat Ears Over-Ear Headphones Foldable Luminous Headset Bluetooth5.0 Volume Limiting, LED Lights, FM Radio, TF Card for Over 5 Years Old",26.51,,,,,0.0,,,0.0,,,amazon,
ISK HF-2010 Semi-Open Monitor Headphones Stereo HiFi DJ Professional Studio Monitoring,,5.0,1.0,ISK,,0.0,over,,1.0,,,amazon,True
