name,brand,walmart_id,rating,rating_amount,_connection_,_type_,_battery_,_microphone_,_noise_,_water_,_UPC_,_price_,_model_
Dodocool 3 Pairs 6 PCS Three Layer Silicone In Ear Earphone Covers Cap Replacement Earbud Bud Tips Earbuds eartips Earplug Ear Pads Cushion Random Color Size,Dodocool,,,,0,in ear,,1,,,7.92E+11,22.43,
Unique Bargains 100 Pieces Universal White Sponge Headphone Cell Phone Tip Cover Pad,Unique Bargains,,,,0,,,0,,,,12.99,
20 Pairs Medium Silicone Replacement Earbud Ear Buds Tips - Black,Greyghost:9418,,,,1,in ear,,0,,,,12.29,
Jam Hxep900Cs Live True Bluetooth Erbds Crm Soda,JAM,,5,1,1,,,1,,,31262087812,180.95,HX-EP900CS
Tomshine In-ear Piston Binaural Stereo Earphone Headset with Earbud Listening Music compatible with HTC Smartphone MP3,Tomshine,,,,0,in ear,,1,,,7.92E+11,12.13,
"Cusimax Type-C Earphone 6mm Dual Dynamic Drivers Wired Control Headphone Laptop Phone Tablet Earbuds, Gold",Cusimax,,,,0,,,1,,,7.60E+11,8.32,
Headset for Motorola P6620 XIR P6600 E8600 E8608 XPR3300 XPR3500 XIR by MaximalPower Headset with PTT Mic Acoustic Tube with Ear Insert & Ear Bud (Earpiece +Ear Insert+Earbuds),MaximalPower,,,,0,,,1,,,8.04E+11,24.98,1618+0704+0705+0651
"Tweedz Black and White Earbuds with Microphone and Controls - Durable, Tangle-Free, In Ear Headphones with Braided Fabric Wrapped Cords and Noise Isolating Ear Buds",Tweedz Braided Headphones,,,,0,on ear,,1,isolate,,,44.88,
Plantronics Eartip 2995532,Plantronics,,4.5,2,0,,,1,,,,15.48,2995507
"Cellet Retractable 3.5mm Stereo In-Ear Headphones, Black",Cellet,,3,2,0,in ear,,1,,,,7.98,EP35XSTR
Lemonbest Headphone Ear Cap Earphone In Ear Tips Soft Silicon Cover Earphone Accessory,Lemonbest,,,,0,in ear,,0,reduct,proof,1.91E+11,12.38,
"TWS Earbuds w/ 3600mAh Charging Box bluetooth 5.0 Waterproof 8D Hifi【LED Display Screen, CVC8.0 Noise Cancelling】",V.I.P.,,,,1,in ear,,0,reduct,proof,,17.79,F9 5.0
"Monoprice Large-Driver Bluetooth Wireless Earphones With In-Line Mic/Controller, Lightweight And Durable",Monoprice,,4,2,1,in ear,,1,cancel,,,19.99,115274
"EARBUDS,WRLS,BT,CHRG CASE",Skullcandy,,3.4,564,0,,,0,,,,36.4,S2TDW-M704
"Headset OEM 3.5mm Handsfree Earphones Compatible With Samsung Galaxy S4 Active (GT-i9295) S3, Note 2 Mega SPH-L600 SGH-M819, J3 V, Express 3 Core Prime Amp Prime Admire 2, Convoy 4",AWAccessory,,,,0,,,1,cancel,,,14.13,A48-WLVYAK
