,name,wm_ID,rating,num_of_rating,price,brand,connection,type,battery,microphone,noise,water,warranty,weight,driver,impedance,frequency response,sensitivity,UPC,model number,manufacturerID,HeadphoneType,HeadphoneStyle,Wireless,WirelessTechnology,RecommendedUse,CompatibleDevices
0,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,On-Ear&Over-Ear,,N,,,
1,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,,In-EarHeadphones,In-Ear,TrueWireless,Bluetooth,1,1
2,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,,
3,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",Walmart #  586219737,4.6,86 ratings,$28.99 ,,wireless,,,mic,0,waterproof,,lightweight,,,,,,,,,,Y,Bluetooth,,
4,Apple AirPods with Wireless Charging Case (Latest Model),Walmart #  574839612,4.7,1553 ratings,$159.99 ,,wireless,,,0,0,0,,,,,,,,,,,,,,,
5,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,In-Ear,Y,Bluetooth,Portableelectronics,Bluetooth
6,JLab Audio Go Air True Wireless Earbuds + Charging Case,Walmart #  578692343,4.0,905 ratings,$29.88 ,,wireless,in ear,,mic,0,0,,,,,,,,,,Earbuds,In-Ear,Y,iPad,Portableelectronics,iPhone
7,"Bose QuietComfort 35 Wireless Noise Cancelling Headphones II, Black",Walmart #  565712921,4.6,238 ratings,$199.00 ,,wireless,,,mic,noise cancelling,0,,lightweight,,,,,,,,On-Ear&Over-Ear,Over-Ear,Y,Bluetooth,Portableelectronics,Bluetooth
8,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,,lightweight,,,,,,,,On-Ear&Over-Ear,Over-Ear,Y,Bluetooth,,Bluetooth
9,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,Walmart #  571298612,4.1,127 ratings,$229.99 ,,wireless,on ear,,mic,noise canceling,0,,,,,,,,,,WirelessHeadphones,On-Ear&Over-Ear|DJ,Y,Bluetooth,Portableelectronics,iPhone|MacBook|iPad|AppleWatch|AppleTV|iPodTouch
10,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,,lightweight,,,,,,,,On-Ear&Over-Ear,Over-Ear,Y,Bluetooth,,Bluetooth
11,COWIN E7 Active Noise Cancelling Headphones Bluetooth Headphones with Mic Deep Bass Wireless Headphones Over Ear,,4.7,12278 ratings,$59.99 ,,wireless,over ear,,mic,noise cancelling,0,,lightweight,,,,,,,,On-Ear&Over-Ear,,Y,Bluetooth,,
12,Life Note TWS In Ear Headphones (A3908-White),Walmart #  575873330,4.1,41 ratings,$49.00 ,,wireless,in ear,,mic,noise cancellation,waterproof,,,,,,,,,,In-EarHeadphones,,Y,Bluetooth,,
13,"onn. True Wireless Earphones, Black",Walmart #  578595654,4.3,156 ratings,$14.60 ,,wireless,,,mic,0,waterproof,,,,,,,,,,WirelessHeadphones,In-Ear,Y,Bluetooth,,Android/iOS
14,Skullcandy Cassette Wireless BT On-Ear Headphone with Mic in Black,Walmart #  575963796,4.3,132 ratings,$29.88 ,,wireless,on ear,,mic,0,0,,,,,,,,,,WirelessHeadphones,On-Ear,Y,Bluetooth,Portableelectronics,
15,Mini Wireless Earbuds Bluetooth 5.0 Earpiece Headphone - Noise Cancelling Sweatproof Headset with Microphone Built-in Mic and Portable Charging Case for iPhone Samsung Smartphones,,4.0,473 ratings,$25.99 ,,wireless,,,mic,0,0,,lightweight,,,,,,,,In-EarHeadphones,,Y,8+,,Universal;AppleiPhone8
16,"onn. On-Ear Headphones, Black",Walmart #  578486279,4.2,173 ratings,$9.88 ,,0,on ear,,0,0,0,,lightweight,,,,,,,,On-Ear&Over-Ear,On-Ear,,Desktopcomputer,,Tabletcomputers
17,"Google Pixel Buds, Clearly White",Walmart #  581323336,3.9,61 ratings,$179.00 ,,0,,,mic,0,0,,,,,,,,,,Earbuds,Wireless,Y,Bluetooth,Portableelectronics,<ul><li>Smartphone</li><li>MediaPlayer</li><li>Tablets</li><li>Laptops</li></ul>
18,Bose SoundSport Free True Wireless Earbuds - Black,Walmart #  565712930,4.4,396 ratings,$199.00 ,,wireless,in ear,,mic,0,water resist,,lightweight,,,,,,,,In-EarHeadphones,Sport,Y,Bluetooth,Portableelectronics,BluetoothEnabledDevice
19,Sony WH-CH510 Wireless On-Ear Headphones with Mic- Black,Walmart #  575975730,3.8,78 ratings,$49.88 ,,wireless,,,mic,0,0,,,,,,,,,,WirelessHeadphones,,Y,Bluetooth,Portableelectronics,1
