,name,wm_ID,rating,num_of_rating,price,feat_labels,feat_values,about_text,about_details,about_text_clean,feat_labels_clean,feat_values_clean,brand,connection,type,battery,microphone,noise,water,weight,driver,impedance,frequency response,sensitivity,UPC,model number,manufacturerID,RecommendedUse,HeadphoneStyle,Wireless,CompatibleDevices,HeadphoneType,WirelessTechnology
0,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
1,Apple AirPods Pro,Walmart #  577856461,4.6,2245,219.0,"['Headphone Type', 'Headphone Style', 'Wireless', 'Recommended Use', 'Compatible Devices', 'Wireless Technology']","['In-Ear Headphones', 'In-Ear', 'True Wireless', '1', '1', 'Bluetooth']","Active Noise Cancellation for immersive sound. Transparency mode for hearing and connecting with the world around you. A more customizable fit for all-day comfort. Sweat and water resistant (1). All in a super light, in-ear headphone that?s easy to set up with all your Apple devices. (2)    Key Features   Active Noise Cancellation for immersive sound Transparency mode for hearing and connecting with the world around you Three sizes of soft, tapered silicone tips for a customizable fit Sweat and water resistant (1) Adaptive EQ automatically tunes music to the shape of your ear Easy setup for all your Apple devices (2) Quick access to Siri by saying ?Hey Siri? (3) The Wireless Charging Case delivers more than 24 hours of battery life (4)    Legal     (1) AirPods Pro are sweat and water resistant for non-water sports and exercise and are IPX4 rated. Sweat and water resistance are not permanent conditions. The charging case is not sweat or water resistant.       (2) Requires an iCloud account and macOS 10.14.4, iOS 12.2, iPadOS, watchOS 5.2, or tvOS 13.2 or later.         (3) Siri may not be available in all languages or in all areas, and features may vary by area.         (4) Battery life varies by use and configuration. See apple.com/batteries for details.","['Active Noise Cancellation for immersive sound', 'Transparency mode for hearing and connecting with the world around you', 'Three sizes of soft, tapered silicone tips for a customizable fit', 'Sweat and water resistant (1)', 'Adaptive EQ automatically tunes music to the shape of your ear', 'Easy setup for all your Apple devices (2)', 'Quick access to Siri by saying ?Hey Siri? (3)', 'The Wireless Charging Case delivers more than 24 hours of battery life (4)']",active noise cancellation for immersive sound. transparency mode for hearing and connecting with the world around you. a more customizable fit for all day comfort. sweat and water resistant    . all in a super light  in ear headphone that s easy to set up with all your apple devices.        key features   active noise cancellation for immersive sound transparency mode for hearing and connecting with the world around you three sizes of soft  tapered silicone tips for a customizable fit sweat and water resistant     adaptive eq automatically tunes music to the shape of your ear easy setup for all your apple devices     quick access to siri by saying  hey siri      the wireless charging case delivers more than    hours of battery life        legal         airpods pro are sweat and water resistant for non water sports and exercise and are ipx  rated. sweat and water resistance are not permanent conditions. the charging case is not sweat or water resistant.           requires an icloud account and macos   .  .   ios   .   ipados  watchos  .   or tvos   .  or later.             siri may not be available in all languages or in all areas  and features may vary by area.             battery life varies by use and configuration. see apple.com batteries for details.,"HeadphoneType,HeadphoneStyle,Wireless,RecommendedUse,CompatibleDevices,WirelessTechnology","In-EarHeadphones,In-Ear,TrueWireless,1,1,Bluetooth",,1,in ear,,0,cancel,resist,,,,,,,,,1,In-Ear,Y,1,In-EarHeadphones,Bluetooth
2,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
3,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
4,Apple AirPods with Wireless Charging Case (Latest Model),Walmart #  574839612,4.7,1553,159.99,,,"The new AirPods combine intelligent design with breakthrough technology and crystal clear sound. Powered by the new Apple H1 headphone chip, AirPods now feature hands-free access to Siri using just your voice. And up to 3 hours of talk time on a single charge.Key Features   Automatically on, automatically connected Easy setup for all your apple devices(2) Quick access to Siri by saying ""Hey Siri"" Double-tap to play or skip forward New Apple H1 headphone clip delivers faster wireless connection to your devices Charges quickly in the case Case can be charged either wirelessly using a Qi-compatible charging mat or using the Lightning connector Rich, high-quality audio and voice Seamless switching between devices Listen and talk all day with multiple charges from the Wireless Charging Case(3)      Legal       (1)Battery life depends on device settings, environment, usage, and many other factors. (2)Requires an iCloud account and macOS 10.14.4, iOS 12.2, or watchOS 5.2. (3)Battery life varies by use and configuration. (4)Requires latest version of iOS. (5) Battery life depends on device settings, environment, usage, and many other factors. (6)Testing conducted by Apple in February 2019 using preproduction AirPods (2nd generation), Charging Case, and Wireless Charging Case units and software paired with iPhone XS Max units and prerelease software. Volume was set to 50%. Testing consisted of full AirPods battery discharge with a cellular phone call until the first AirPod stopped playing call audio. The drained AirPods were charged to 100 percent, then the cellular phone call was restarted until the first AirPod stopped playing call audio. This cycle was repeated until both the AirPods and charging case were fully discharged. Battery life depends on device settings, environment, usage, and many other factors. (7)Testing conducted by Apple in February 2019 using preproduction AirPods (2nd generation), Charging Case, and Wireless Charging Case units and software paired with iPhone XS Max units and prerelease software. The playlist consisted of 358 unique audio tracks purchased from the iTunes Store (256-Kbps AAC encoding). Volume was set to 50%. Testing consisted of full AirPods battery discharge while playing audio until the first AirPod stopped playback. Battery life depends on device settings, environment, usage, and many other factors. (8)Testing conducted by Apple in February 2019 using preproduction AirPods (2nd generation), Charging Case, and Wireless Charging Case units and software paired with iPhone XS Max units and prerelease software. The playlist consisted of 358 unique audio tracks purchased from the iTunes Store (256-Kbps AAC encoding). Volume was set to 50%. 15-Minute charge testing conducted with drained AirPods that were charged for 15 minutes, then audio playback was started until the first AirPod stopped playback. Battery life depends on device settings, environment, usage, and many other factors. (9)Testing conducted by Apple in February 2019 using preproduction AirPods (2nd generation), Charging Case, and Wireless Charging Case units and software paired with iPhone XS Max units and prerelease software. Volume was set to 50%. 15-Minute charge testing conducted with drained AirPods that were charged for 15 minutes, then a cellular phone call was started until the first AirPod stopped playing call audio. Battery life depends on device settings, environment, usage, and many other factors.","['Automatically on, automatically connected', 'Easy setup for all your apple devices(2)', 'Quick access to Siri by saying ""Hey Siri""', 'Double-tap to play or skip forward', 'New Apple H1 headphone clip delivers faster wireless connection to your devices', 'Charges quickly in the case', 'Case can be charged either wirelessly using a Qi-compatible charging mat or using the Lightning connector', 'Rich, high-quality audio and voice', 'Seamless switching between devices', 'Listen and talk all day with multiple charges from the Wireless Charging Case(3)']",the new airpods combine intelligent design with breakthrough technology and crystal clear sound. powered by the new apple h  headphone chip  airpods now feature hands free access to siri using just your voice. and up to   hours of talk time on a single charge.key features   automatically on  automatically connected easy setup for all your apple devices    quick access to siri by saying  hey siri  double tap to play or skip forward new apple h  headphone clip delivers faster wireless connection to your devices charges quickly in the case case can be charged either wirelessly using a qi compatible charging mat or using the lightning connector rich  high quality audio and voice seamless switching between devices listen and talk all day with multiple charges from the wireless charging case         legal          battery life depends on device settings  environment  usage  and many other factors.    requires an icloud account and macos   .  .   ios   .   or watchos  . .    battery life varies by use and configuration.    requires latest version of ios.     battery life depends on device settings  environment  usage  and many other factors.    testing conducted by apple in february      using preproduction airpods   nd generation   charging case  and wireless charging case units and software paired with iphone xs max units and prerelease software. volume was set to    . testing consisted of full airpods battery discharge with a cellular phone call until the first airpod stopped playing call audio. the drained airpods were charged to     percent  then the cellular phone call was restarted until the first airpod stopped playing call audio. this cycle was repeated until both the airpods and charging case were fully discharged. battery life depends on device settings  environment  usage  and many other factors.    testing conducted by apple in february      using preproduction airpods   nd generation   charging case  and wireless charging case units and software paired with iphone xs max units and prerelease software. the playlist consisted of     unique audio tracks purchased from the itunes store      kbps aac encoding . volume was set to    . testing consisted of full airpods battery discharge while playing audio until the first airpod stopped playback. battery life depends on device settings  environment  usage  and many other factors.    testing conducted by apple in february      using preproduction airpods   nd generation   charging case  and wireless charging case units and software paired with iphone xs max units and prerelease software. the playlist consisted of     unique audio tracks purchased from the itunes store      kbps aac encoding . volume was set to    .    minute charge testing conducted with drained airpods that were charged for    minutes  then audio playback was started until the first airpod stopped playback. battery life depends on device settings  environment  usage  and many other factors.    testing conducted by apple in february      using preproduction airpods   nd generation   charging case  and wireless charging case units and software paired with iphone xs max units and prerelease software. volume was set to    .    minute charge testing conducted with drained airpods that were charged for    minutes  then a cellular phone call was started until the first airpod stopped playing call audio. battery life depends on device settings  environment  usage  and many other factors.,,,,0,,,0,0,0,,,,,,,,,,,N,,,
5,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
6,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
7,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
8,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
9,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
10,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
11,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
12,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
13,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
14,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
15,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
16,"onn. On-Ear Headphones, Black",Walmart #  578486279,4.2,173,9.88,"['Headphone Type', 'Headphone Style', 'Compatible Devices', 'Wireless Technology']","['On-Ear & Over-Ear', 'On-Ear', 'Tablet computers, Desktop computer, mobile phones, desktop, iPad, etc.', 'None']","Jam out! Whether you are working intently at your day job, or settling in for a long day of travel, you’ll enjoy the comfortable fit of our On-Ear Headphones. Listen to your favorite content or just pretend to look busy… simply put them onn. and tune everything else out! Groove onn. We’re onn.™ to something here. We took the hassle out of buying electronics and built a brand that’s fresh and simple. With delightful pops of color, finding the right product has never been easier. Say goodbye to stressful decision-making and fear of the electronics aisle. Our mission is simple… to deliver great products and make it easy. Choose onn.™ and get back to using your brainpower for the important things in life… like pondering the question, ""What should I binge watch this weekend?” onn. On-Ear Headphones:  Adjustable headband for a comfortable fit Lightweight design AUX 3.5 mm cable 3.94 ft (1.2 m)","['Adjustable headband for a comfortable fit', 'Lightweight design', 'AUX 3.5 mm cable 3.94 ft (1.2 m)']",jam out  whether you are working intently at your day job  or settling in for a long day of travel  you ll enjoy the comfortable fit of our on ear headphones. listen to your favorite content or just pretend to look busy  simply put them onn. and tune everything else out  groove onn. we re onn.  to something here. we took the hassle out of buying electronics and built a brand that s fresh and simple. with delightful pops of color  finding the right product has never been easier. say goodbye to stressful decision making and fear of the electronics aisle. our mission is simple  to deliver great products and make it easy. choose onn.  and get back to using your brainpower for the important things in life  like pondering the question   what should i binge watch this weekend   onn. on ear headphones   adjustable headband for a comfortable fit lightweight design aux  .  mm cable  .   ft   .  m ,"HeadphoneType,HeadphoneStyle,CompatibleDevices,WirelessTechnology","On-Ear&Over-Ear,On-Ear,Tabletcomputers,Desktopcomputer,mobilephones,desktop,iPad,etc.,None",,0,on ear,,0,0,0,lightweight,,,,,,,,,On-Ear,N,Tabletcomputers,On-Ear&Over-Ear,Desktopcomputer
17,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
18,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
19,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
20,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
21,Skullcandy Jib Plus Bluetooth Wireless In Ear Earbuds in Black,Walmart #  575711966,3.5,99,15.99,"['Headphone Type', 'Headphone Style', 'Wireless', 'Recommended Use', 'Compatible Devices', 'Wireless Technology']","['In-Ear Headphones', 'In-Ear', 'Y', '1', 'Portable Electronics', 'Bluetooth']","EARBUD,JIB+ WRLS,BLK,BT","['Value for money', 'Ease of use']",earbud jib  wrls blk bt,"HeadphoneType,HeadphoneStyle,Wireless,RecommendedUse,CompatibleDevices,WirelessTechnology","In-EarHeadphones,In-Ear,Y,1,PortableElectronics,Bluetooth",,0,,,0,0,0,,,,,,,,,1,In-Ear,Y,PortableElectronics,In-EarHeadphones,Bluetooth
22,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
23,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
24,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
25,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
26,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
27,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
28,1,1,1.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N,1,1,1
