,web-scraper-order,web-scraper-start-url,product_link,product_link-href,name,model,sku,price,rating,rating_amount,key_specs,brand,general,audio,connectivity,features,design,power,warranty/dimension,other,about_text_clean,brand,connection,type,battery,microphone,noise,water,weight,impedance,frequency response,sensitivity,UPC,manufacturerID
0,1604775912-16120,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=13&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Sony - 1000X Premium Wireless Noise Cancelling Behind-the-Neck Headphones - Black,https://www.bestbuy.com/site/sony-1000x-premium-wireless-noise-cancelling-behind-the-neck-headphones-black/6029012.p?skuId=6029012,Sony - 1000X Premium Wireless Noise Cancelling Behind-the-Neck Headphones - Black,WI1000X/B,6029012,299,4.2,274,"Sound Mode Stereo Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoNo Maximum Wireless Range 33 feetWater ResistantInfoNo Built-In Microphone Yes Carrying Case Yes Headphone Fit Behind the neck, In-Ear Adjustable Headband NoBattery LifeInfo10 hoursBattery Charge TimeInfo3.5 hoursVoice Assistant Built-inInfoGoogle Assistant Ear Tip Sizes Included Medium, Small",Sony,"Product Name 1000X Premium Wireless Noise Cancelling Behind-the-Neck Headphones Brand Sony Additional Accessories Included Carrying pouch Ear Tip Sizes Included Medium, Small Model Number WI1000X/B Color Black Color Category Black",Sound Isolating YesMinimum Frequency ResponseInfo3 hertzMaximum Frequency ResponseInfo40 kilohertzImpedanceInfo22 ohms Sensitivity 101 decibels adjusted Sound Mode Stereo Driver Size 40 millimeters,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoNoBluetooth VersionInfo4.1 Maximum Wireless Range 33 feet,Water ResistantInfoNo Built-In Microphone Yes Carrying Case Yes Controls Volume Body Metrics Measured Other Bone Conducting Technology No,"Headphone Fit Behind the neck, In-Ear",Rechargeable YesBattery LifeInfo10 hoursBattery Charge TimeInfo3.5 hoursFast ChargingInfoNoCharging Interface(s)InfoUSB,Voice Assistant Built-inInfoGoogle Assistant,Product WeightInfo0.16 pounds,product name 1000x premium wireless noise cancelling behind the neck headphones brand sony additional accessories included carrying pouch ear tip sizes included medium  small model number wi1000x b color black color category black sound mode stereo connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfono maximum wireless range 33 feetwater resistantinfono built in microphone yes carrying case yes headphone fit behind the neck  in ear adjustable headband nobattery lifeinfo10 hoursbattery charge timeinfo3.5 hoursvoice assistant built ininfogoogle assistant ear tip sizes included medium  small sound isolating yesminimum frequency responseinfo3 hertzmaximum frequency responseinfo40 kilohertzimpedanceinfo22 ohms sensitivity 101 decibels adjusted sound mode stereo driver size 40 millimeters connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfonobluetooth versioninfo4.1 maximum wireless range 33 feet water resistantinfono built in microphone yes carrying case yes controls volume body metrics measured other bone conducting technology no headphone fit behind the neck  in ear rechargeable yesbattery lifeinfo10 hoursbattery charge timeinfo3.5 hoursfast charginginfonocharging interface s infousb,product,1,in,10,1.0,cancel,resist,,2 ohms,3 hertz,101 decibels adjusted,,wi1000x
1,1604771619-15856,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=24&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,JAM - Live Loud True Wireless Earbud Headphones - Black,https://www.bestbuy.com/site/jam-live-loud-true-wireless-earbud-headphones-black/6359334.p?skuId=6359334,JAM - Live Loud True Wireless Earbud Headphones - Black,HX-EP410,6359334,39,3.7,3,"Sound Mode Stereo Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYes Maximum Wireless Range 30 feetWater ResistantInfoNo Built-In Microphone Yes Carrying Case Yes Headphone Fit In-EarBattery LifeInfo3 hoursWorks WithInfoSiriVoice Assistant Built-inInfoNot Applicable Ear Tip Sizes Included Large, Medium, Small",JAM,"Product Name Live Loud True Wireless Earbud Headphones Brand JAM Additional Accessories Included Charging case; 3-sizes ear tips: S, M, L; USB charging cable Ear Cushions No Ear Tip Sizes Included Large, Medium, Small Model Number HX-EP410SeriesInfoLive Loud Color Black Color Category Black",Sound Isolating NoEnvironmental Noise ControlInfoNo Integrated Amplifier No Sound Mode Stereo,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYes Maximum Wireless Range 30 feet,"Water ResistantInfoNo Built-In Microphone Yes Carrying Case Yes Controls Call, Track selection, Volume Body Metrics Measured Not Applicable Bone Conducting Technology No Lighting Type None Maximum Talk Time 12 hours",Headphone Fit In-Ear,"Rechargeable YesBattery LifeInfo3 hours Charging Accessory Included Cable, Case Battery Life Provided by Charging Case 12 hoursCharging Interface(s)InfoMicro USBOn/Off SwitchInfoYes",Works WithInfoSiriVoice Assistant Built-inInfoNot Applicable,Product HeightInfo0.63 inches,product name live loud true wireless earbud headphones brand jam additional accessories included charging case  3 sizes ear tips  s  m  l  usb charging cable ear cushions no ear tip sizes included large  medium  small model number hx ep410seriesinfolive loud color black color category black sound mode stereo connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyes maximum wireless range 30 feetwater resistantinfono built in microphone yes carrying case yes headphone fit in earbattery lifeinfo3 hoursworks withinfosirivoice assistant built ininfonot applicable ear tip sizes included large  medium  small sound isolating noenvironmental noise controlinfono integrated amplifier no sound mode stereo connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyes maximum wireless range 30 feet water resistantinfono built in microphone yes carrying case yes controls call  track selection  volume body metrics measured not applicable bone conducting technology no lighting type none maximum talk time 12 hours headphone fit in ear rechargeable yesbattery lifeinfo3 hours charging accessory included cable  case battery life provided by charging case 12 hourscharging interface s infomicro usbon off switchinfoyes,product,1,in,12,1.0,isolate,resist,,,,,,hx
2,1604779433-16358,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Sony - EX14AP Wired Earbud Headphones - Black,https://www.bestbuy.com/site/sony-ex14ap-wired-earbud-headphones-black/5739305.p?skuId=5739305,Sony - EX14AP Wired Earbud Headphones - Black,MDREX14AP/B,5739305,7,4.3,4,"Sound Mode Stereo Connection Type WiredWater ResistantInfoNo Built-In Microphone Yes Carrying Case No Headphone Fit In-Ear Ear Tip Sizes Included Large, Medium, Small",Sony,"Product Name EX14AP Wired Earbud Headphones Brand Sony Additional Accessories Included Small, medium and large size earbuds Ear Tip Sizes Included Large, Medium, Small Model Number MDREX14AP/B Color Black Color Category Black",Sound Isolating NoMinimum Frequency ResponseInfo8 hertzMaximum Frequency ResponseInfo22 kilohertz Sound Mode Stereo Driver Size 9 millimeters,Connection Type Wired Connector Size 1/8 in. (3.5mm),Water ResistantInfoNo Built-In Microphone Yes Carrying Case No Body Metrics Measured Not Applicable Bone Conducting Technology No,Headphone Fit In-Ear,Product WeightInfo0.006875 pounds Cord Length 3.9 feet,Manufacturer's Warranty - Parts 90 days Manufacturer's Warranty - Labor 90 days,UPC 027242900479,product name ex14ap wired earbud headphones brand sony additional accessories included small  medium and large size earbuds ear tip sizes included large  medium  small model number mdrex14ap b color black color category black sound mode stereo connection type wiredwater resistantinfono built in microphone yes carrying case no headphone fit in ear ear tip sizes included large  medium  small sound isolating nominimum frequency responseinfo8 hertzmaximum frequency responseinfo22 kilohertz sound mode stereo driver size 9 millimeters connection type wired connector size 1 8 in.  3.5mm  water resistantinfono built in microphone yes carrying case no body metrics measured not applicable bone conducting technology no headphone fit in ear product weightinfo0.006875 pounds cord length 3.9 feet,product,1,in,,1.0,isolate,resist,,,8 hertz,,,mdrex14ap
3,1604779022-16328,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=2&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Beats by Dr. Dre - Solo Pro More Matte Collection Wireless Noise Cancelling On-Ear Headphones - Dark Blue,https://www.bestbuy.com/site/beats-by-dr-dre-solo-pro-more-matte-collection-wireless-noise-cancelling-on-ear-headphones-dark-blue/6383120.p?skuId=6383120,Beats by Dr. Dre - Solo Pro More Matte Collection Wireless Noise Cancelling On-Ear Headphones - Dark Blue,MRJA2LL/A,6383120,179,4.6,664,Noise Cancelling (Active) Yes Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoNo Built-In Microphone Yes Carrying Case Yes Microphone Features Noise cancelling Headphone Fit On-EarBattery LifeInfo22 hours,Beats by Dr. Dre,"Product Name Solo Pro More Matte Collection Wireless Noise Cancelling On-Ear Headphones Brand Beats by Dr. Dre Additional Accessories Included Lightning to USB-A charging cable, carrying case Model Number MRJA2LL/A Color Dark Blue Color Category Blue",Noise Cancelling (Active) Yes Sound Isolating No,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoNo,"Built-In Microphone Yes Carrying Case Yes Microphone Features Noise cancelling Controls Call, Track selection, Volume",Headphone Fit On-Ear,Rechargeable YesBattery LifeInfo22 hours Charging Accessory Included CableFast ChargingInfoFast FuelCharging Interface(s)InfoLightning,Product HeightInfo7.05 inchesProduct WeightInfo0.59 pounds,Manufacturer's Warranty - Parts 1 Year,product name solo pro more matte collection wireless noise cancelling on ear headphones brand beats by dr. dre additional accessories included lightning to usb a charging cable  carrying case model number mrja2ll a color dark blue color category blue noise cancelling  active  yes connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfono built in microphone yes carrying case yes microphone features noise cancelling headphone fit on earbattery lifeinfo22 hours noise cancelling  active  yes sound isolating no connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfono built in microphone yes carrying case yes microphone features noise cancelling controls call  track selection  volume headphone fit on ear rechargeable yesbattery lifeinfo22 hours charging accessory included cablefast charginginfofast fuelcharging interface s infolightning,product,0,on,22,1.0,cancel,,,,,,,mrja2ll
4,1604779343-16351,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Sony - MDRXB50 Wired Earbud Headphones - Black,https://www.bestbuy.com/site/sony-mdrxb50-wired-earbud-headphones-black/4909005.p?skuId=4909005,Sony - MDRXB50 Wired Earbud Headphones - Black,MDRXB50AP/B,4909005,29,4.5,6,"Sound Mode Stereo Connection Type WiredWater ResistantInfoNo Built-In Microphone Yes Carrying Case Yes Headphone Fit In-Ear Ear Tip Sizes Included Extra small, Large, Medium, Small",Sony,"Product Name Sony - MDRXB50 Wired Earbud Headphones Brand Sony Additional Accessories Included Cord adjuster, carry pouchEarbuds (2 x-small, 2 small, 2 medium, 2 large)Owner's manual Ear Cushions Yes Ear Tip Sizes Included Extra small, Large, Medium, Small Model Number MDRXB50AP/B Color Black Color Category Black",Sound Isolating YesMinimum Frequency ResponseInfo4 hertzMaximum Frequency ResponseInfo24 kilohertzImpedanceInfo16 ohms Sensitivity 110 decibels adjusted Sound Mode Stereo Driver Size 12 millimeters,Connection Type Wired Connector Size 1/8 in. (3.5mm),Water ResistantInfoNo Built-In Microphone Yes Carrying Case Yes Body Metrics Measured Not Applicable Bone Conducting Technology No,Headphone Fit In-Ear,Product HeightInfo1 inchesProduct WidthInfo0.5 inchesProduct DepthInfo0.75 inchesProduct WeightInfo0.02 pounds Cord Length 3.9 feet,Manufacturer's Warranty - Parts 90 days Manufacturer's Warranty - Labor 90 days,UPC 027242877023,product name sony   mdrxb50 wired earbud headphones brand sony additional accessories included cord adjuster  carry pouchearbuds  2 x small  2 small  2 medium  2 large owner s manual ear cushions yes ear tip sizes included extra small  large  medium  small model number mdrxb50ap b color black color category black sound mode stereo connection type wiredwater resistantinfono built in microphone yes carrying case yes headphone fit in ear ear tip sizes included extra small  large  medium  small sound isolating yesminimum frequency responseinfo4 hertzmaximum frequency responseinfo24 kilohertzimpedanceinfo16 ohms sensitivity 110 decibels adjusted sound mode stereo driver size 12 millimeters connection type wired connector size 1 8 in.  3.5mm  water resistantinfono built in microphone yes carrying case yes body metrics measured not applicable bone conducting technology no headphone fit in ear product heightinfo1 inchesproduct widthinfo0.5 inchesproduct depthinfo0.75 inchesproduct weightinfo0.02 pounds cord length 3.9 feet,product,1,in,,1.0,isolate,resist,,6 ohms,4 hertz,110 decibels adjusted,,mdrxb50ap
5,1604773602-15958,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=20&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Innovative Technology - ITHW-858B Wireless Over-the-Ear Headphones - Black,https://www.bestbuy.com/site/innovative-technology-ithw-858b-wireless-over-the-ear-headphones-black/5885200.p?skuId=5885200,Innovative Technology - ITHW-858B Wireless Over-the-Ear Headphones - Black,ITHW-858B,5885200,24,3.3,28,Sound Mode Stereo Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoNo Carrying Case Yes Headphone Fit Over-the-Ear Adjustable Headband No,Innovative Technology,"Product Name ITHW-858B Wireless Over-the-Ear Headphones Brand Innovative Technology Additional Accessories Included Carrying case, wireless transmitter, stereo earbuds Model Number ITHW-858B Color Black Color Category Black",Sound Isolating No Sound Mode Stereo,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoNo,Carrying Case Yes,Headphone Fit Over-the-Ear,Rechargeable No,Manufacturer's Warranty - Parts Not Available Manufacturer's Warranty - Labor Not Available,UPC 180904000396,product name ithw 858b wireless over the ear headphones brand innovative technology additional accessories included carrying case  wireless transmitter  stereo earbuds model number ithw 858b color black color category black sound mode stereo connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfono carrying case yes headphone fit over the ear adjustable headband no sound isolating no sound mode stereo connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfono carrying case yes headphone fit over the ear rechargeable no,product,0,,,,isolate,,,,,,,ithw
6,1604773928-15980,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=19&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Audio-Technica - ATH-M20x Monitor Headphones - Black,https://www.bestbuy.com/site/audio-technica-ath-m20x-monitor-headphones-black/4725008.p?skuId=4725008,Audio-Technica - ATH-M20x Monitor Headphones - Black,AUD ATHM20X,4725008,49,4.3,15,Sound Mode Stereo Connection Type WiredWater ResistantInfoNo Built-In Microphone No Carrying Case No Headphone Fit On-Ear Adjustable Headband Yes,Audio-Technica,"Product Name ATH-M20x Monitor Headphones Brand Audio-Technica Additional Accessories Included 6.3mm (1/4"") snap-on adapter Model Number AUD ATHM20X Color Black Color Category Black",Sound Isolating YesMinimum Frequency ResponseInfo15 hertzMaximum Frequency ResponseInfo20 kilohertzImpedanceInfo47 ohms Sensitivity 96 decibels adjusted Integrated Amplifier No Volume Limiting Function No Sound Mode Stereo Driver Size 40 millimeters,Connection Type Wired Connector Size 1/8 in. (3.5mm) Detachable Cord Yes Tangle-Resistant Cord No,Water ResistantInfoNo Built-In Microphone No Carrying Case No Bone Conducting Technology No,Headphone Fit On-Ear,Product HeightInfo11 inchesProduct WidthInfo10 inchesProduct DepthInfo4 inchesProduct WeightInfo1.75 pounds Cord Length 9.8 feet,Manufacturer's Warranty - Parts 1 year Manufacturer's Warranty - Labor 1 year,UPC 4961310125400,product name ath m20x monitor headphones brand audio technica additional accessories included 6.3mm  1 4   snap on adapter model number aud athm20x color black color category black sound mode stereo connection type wiredwater resistantinfono built in microphone no carrying case no headphone fit on ear adjustable headband yes sound isolating yesminimum frequency responseinfo15 hertzmaximum frequency responseinfo20 kilohertzimpedanceinfo47 ohms sensitivity 96 decibels adjusted integrated amplifier no volume limiting function no sound mode stereo driver size 40 millimeters connection type wired connector size 1 8 in.  3.5mm  detachable cord yes tangle resistant cord no water resistantinfono built in microphone no carrying case no bone conducting technology no headphone fit on ear product heightinfo11 inchesproduct widthinfo10 inchesproduct depthinfo4 inchesproduct weightinfo1.75 pounds cord length 9.8 feet,product,1,on,,1.0,isolate,resist,,7 ohms,15 hertz,96 decibels adjusted,,aud
7,1604772116-15888,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=23&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,V-MODA - Crossfade LP2 Wired Over-the-Ear Headphones - Matte Black,https://www.bestbuy.com/site/v-moda-crossfade-lp2-wired-over-the-ear-headphones-matte-black/2961241.p?skuId=2961241,V-MODA - Crossfade LP2 Wired Over-the-Ear Headphones - Matte Black,XFL2V-U-MBLACK,2961241,149,4.5,23,Sound Mode Stereo Connection Type WiredWater ResistantInfoNo Built-In Microphone No Carrying Case Yes Headphone Fit Over-the-Ear Adjustable Headband No,V-MODA,"Product Name Crossfade LP2 Wired Over-the-Ear Headphones Brand V-MODA Additional Accessories Included Exoskeleton carrying case, reinforced 1-button SpeakEasy microphone cable, 1/4 in adapter, Gunmetal shield kit, carabiner clip, V-MODA sticker Model Number XFL2V-U-MBLACK Color Matte Black Color Category Black",Sound Isolating YesMinimum Frequency ResponseInfo5 hertzMaximum Frequency ResponseInfo30 kilohertzImpedanceInfo32 ohms Sensitivity 105 decibels adjusted Integrated Amplifier No Volume Limiting Function No Sound Mode Stereo Driver Size 50 millimeters,Connection Type Wired Connector Size 1/8 in. (3.5mm) Detachable Cord Yes Tangle-Resistant Cord No,Water ResistantInfoNo Built-In Microphone No Carrying Case Yes Controls Call Bone Conducting Technology No,Headphone Fit Over-the-Ear,Sound Mode Stereo Connection Type WiredWater ResistantInfoNo Built-In Microphone No Carrying Case Yes Headphone Fit Over-the-Ear Adjustable Headband No,Product HeightInfo9.5 inchesProduct WidthInfo7.1 inchesProduct DepthInfo4.5 inchesProduct WeightInfo0.57 pounds Cord Length 4 feet,Manufacturer's Warranty - Parts 2 Years,product name crossfade lp2 wired over the ear headphones brand v moda additional accessories included exoskeleton carrying case  reinforced 1 button speakeasy microphone cable  1 4 in adapter  gunmetal shield kit  carabiner clip  v moda sticker model number xfl2v u mblack color matte black color category black sound mode stereo connection type wiredwater resistantinfono built in microphone no carrying case yes headphone fit over the ear adjustable headband no sound isolating yesminimum frequency responseinfo5 hertzmaximum frequency responseinfo30 kilohertzimpedanceinfo32 ohms sensitivity 105 decibels adjusted integrated amplifier no volume limiting function no sound mode stereo driver size 50 millimeters connection type wired connector size 1 8 in.  3.5mm  detachable cord yes tangle resistant cord no water resistantinfono built in microphone no carrying case yes controls call bone conducting technology no headphone fit over the ear sound mode stereo connection type wiredwater resistantinfono built in microphone no carrying case yes headphone fit over the ear adjustable headband no,product,1,,,1.0,isolate,resist,,2 ohms,5 hertz,105 decibels adjusted,,xfl2v
8,1604772620-15916,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=21&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Audio-Technica - ATH Premium Wired Stereo Gaming Headset - Black,https://www.bestbuy.com/site/audio-technica-ath-premium-wired-stereo-gaming-headset-black/5667711.p?skuId=5667711,Audio-Technica - ATH Premium Wired Stereo Gaming Headset - Black,AUD ATHPG1,5667711,129,5.0,1,Sound Mode Stereo Connection Type WiredWater ResistantInfoNo Built-In Microphone Yes Headphone Fit Over-the-Ear Adjustable Headband Yes Compatible Platform(s) Universal,Audio-Technica,Product Name ATH Premium Wired Stereo Gaming Headset Brand Audio-Technica Model Number AUD ATHPG1 Color Black Color Category Black,Sound Isolating YesMinimum Frequency ResponseInfo20 hertzMaximum Frequency ResponseInfo20 kilohertzImpedanceInfo38 ohms Sensitivity 96 decibels adjusted Sound Mode Stereo Driver Size 44 millimeters,Connection Type Wired Connector Size 1/8 in. (3.5mm) Detachable Cord Yes,"Water ResistantInfoNo Built-In Microphone Yes Controls Mute, Volume Body Metrics Measured Not Applicable Bone Conducting Technology No Lighting Type None",Headphone Fit Over-the-Ear,Compatible Platform(s) Universal,Product WeightInfo0.5 pounds Cord Length 3.9 feet,Manufacturer's Warranty - Parts 2 years,product name ath premium wired stereo gaming headset brand audio technica model number aud athpg1 color black color category black sound mode stereo connection type wiredwater resistantinfono built in microphone yes headphone fit over the ear adjustable headband yes compatible platform s  universal sound isolating yesminimum frequency responseinfo20 hertzmaximum frequency responseinfo20 kilohertzimpedanceinfo38 ohms sensitivity 96 decibels adjusted sound mode stereo driver size 44 millimeters connection type wired connector size 1 8 in.  3.5mm  detachable cord yes water resistantinfono built in microphone yes controls mute  volume body metrics measured not applicable bone conducting technology no lighting type none headphone fit over the ear compatible platform s  universal,product,1,,,1.0,isolate,resist,,8 ohms,20 hertz,96 decibels adjusted,,aud
9,1604778353-16285,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=6&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Jabra Elite 85t True wireless earbuds with Jabra Advanced ANC™ - Titanium Black,https://www.bestbuy.com/site/jabra-elite-85t-true-wireless-earbuds-with-jabra-advanced-anc-titanium-black/6432287.p?skuId=6432287,Jabra Elite 85t True wireless earbuds with Jabra Advanced ANC™ - Titanium Black,100-99190000-02,6432287,229,4.0,52,"Noise Cancelling (Active) Yes Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYesWater ResistantInfoYes Built-In Microphone Yes Carrying Case Yes Microphone Features Noise cancelling, Adjustable Headphone Fit In-EarVoice Assistant Built-inInfoNo Ear Tip Sizes Included Small, Medium, Large",Jabra,"Product Name Jabra Elite 85t True wireless earbuds with Jabra Advanced ANC™ Brand Jabra Ear Tip Sizes Included Small, Medium, Large Model Number 100-99190000-02 Color Titanium Black Color Category Black",Noise Cancelling (Active) Yes Sound Isolating Yes,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYesBluetooth VersionInfo5.0,"Water ResistantInfoYesWaterproofInfoNo Built-In Microphone Yes Carrying Case Yes Microphone Features Noise cancelling, Adjustable Controls Call, Mute, Track selection, Volume Maximum Talk Time 5.5 hours",Headphone Fit In-Ear,Voice Assistant Built-inInfoNo,Product HeightInfo0.638 inchesProduct WidthInfo0.748 inchesProduct DepthInfo0.909 inchesProduct WeightInfo0.015 pounds,Manufacturer's Warranty - Parts Parts only,product name jabra elite 85t true wireless earbuds with jabra advanced anc  brand jabra ear tip sizes included small  medium  large model number 100 99190000 02 color titanium black color category black noise cancelling  active  yes connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyeswater resistantinfoyes built in microphone yes carrying case yes microphone features noise cancelling  adjustable headphone fit in earvoice assistant built ininfono ear tip sizes included small  medium  large noise cancelling  active  yes sound isolating yes connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyesbluetooth versioninfo5.0 water resistantinfoyeswaterproofinfono built in microphone yes carrying case yes microphone features noise cancelling  adjustable controls call  mute  track selection  volume maximum talk time 5.5 hours headphone fit in ear voice assistant built ininfono,product,1,in,5.5,1.0,cancel,resist,,,,,,100
