,Unnamed: 0,name,wm_ID,rating,num_of_rating,price,brand,connection,type,battery,microphone,noise,water,weight,impedance,frequency response,sensitivity,UPC,manufacturerID,HeadphoneStyle,Wireless,HeadphoneType
0,0,Walkers Razor Flat Dark Earth American Flag,,4.4,7,47.99,the,0,,,1.0,reduct,,,,,23db,,23.0,,Y,over
1,1,Apple AirPods Pro,577856461.0,4.6,2245,219.0,active,1,in,24.0,,cancel,resist,,,,,,1.0,in,Y,in
2,2,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12,35.99,perfect,0,,,1.0,reduct,,550g,,20hz,3db,,50.0,,N,
3,3,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",586219737.0,4.6,86,28.99,why,1,,6.0,1.0,,proof,lightweight,,,,,4.0,,Y,
4,4,Apple AirPods with Wireless Charging Case (Latest Model),574839612.0,4.7,1553,159.99,the,0,,,,,,,,,,,1.0,,N,
5,5,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",585374518.0,3.7,10,279.0,bose,0,,6.0,1.0,cancel,,,,,,,11.0,in,Y,in
6,6,JLab Audio Go Air True Wireless Earbuds + Charging Case,578692343.0,4.0,905,29.88,go,0,in,,1.0,,,,,,,,20.0,in,Y,
7,7,"Bose QuietComfort 35 Wireless Noise Cancelling Headphones II, Black",565712921.0,4.6,238,199.0,turn,0,,20.0,1.0,cancel,,lightweight,,,,,35.0,over,Y,over
8,8,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,575563048.0,4.7,235,379.0,turn,0,,20.0,1.0,cancel,,lightweight,,,,,700.0,over,Y,over
9,9,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,571298612.0,4.1,127,229.99,beats,0,on,40.0,1.0,cancel,,9.17 oz,,,,,3.0,over,Y,on
10,10,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,575563048.0,4.7,235,379.0,turn,0,,20.0,1.0,cancel,,lightweight,,,,,700.0,over,Y,over
11,11,COWIN E7 Active Noise Cancelling Headphones Bluetooth Headphones with Mic Deep Bass Wireless Headphones Over Ear,,4.7,12278,59.99,the,0,over,30.0,1.0,cancel,,lightweight,,20hz,85db,,7.0,,Y,over
12,12,Life Note TWS In Ear Headphones (A3908-White),575873330.0,4.1,41,49.0,anker,1,in,7.0,1.0,cancel,proof,,,,,,2.0,,Y,in
13,13,"onn. True Wireless Earphones, Black",578595654.0,4.3,156,14.6,jam,1,,12.0,1.0,,proof,,,,,,4.0,in,Y,on
14,14,Skullcandy Cassette Wireless BT On-Ear Headphone with Mic in Black,575963796.0,4.3,132,29.88,skullcandy,0,on,22.0,1.0,,,,,,,,22.0,on,Y,on
15,15,Mini Wireless Earbuds Bluetooth 5.0 Earpiece Headphone - Noise Cancelling Sweatproof Headset with Microphone Built-in Mic and Portable Charging Case for iPhone Samsung Smartphones,,4.0,473,25.99,why,0,,120.0,1.0,,,5.0g,,,,,7.0,,Y,in
16,16,"onn. On-Ear Headphones, Black",578486279.0,4.2,173,9.88,jam,0,on,,,,,lightweight,,,,,3.0,on,N,over
