name,ne_ID,rating,num_of_rating,price,about,feat_labels,feat_values
Beyerdynamic DT 770 Pro 250 Ohm (459046) Studio Reference Headphones (Closed),9SIAGNP8BM8526,78%,115,149.00,,"['Brand ', 'Model ', 'Part ', 'Type ', 'Frequency Response ', 'THD ', 'Input Impedance ', 'Power Supply ', 'Connector ', 'Ear Coupling ', 'Cord Length ', 'Weight ', 'Features ', 'Date First Available ']","['Beyerdynamic', 'DT 770 Pro 250 Ohm', '459046', 'Over the Ear', '5Hz-35KHz', '< 0.2%', '250 ohms', 'Power handling capacity: 100 mW', 'Gold plated stereo jack plug (3.5 mm) and 1/4"" adapter (6.35 mm)', 'Circumaural', '9.84 ft. coiled cable', '0.60 lb.', 'Closed diffuse field studio headphoneInnovative bass reflex systemRobust spring steel headbandSingle sided cableSoft inner headbandGold plated jack plug (3.5 mm) and adapter (6.35 mm)', 'October 31, 2018']"
Cleer Audio Enduro 100 Bluetooth Wireless Headphones with up to 100 Hours Battery (Navy),12K-02UJ-00004, , ,$179.99,,"['Type ', 'Color ', 'Cord Length ', 'Wireless Type ', 'Compatibility ', 'Option ', 'Date First Available ']","['headset', 'Aqua/White', '5.1 feet - 7.9 feet', 'Bluetooth', 'N/A', '502', 'June 09, 2020']"
Sennheiser HD 2.30G (506789) On-Ear Headphones / Galaxy - White,N82E16826106862, , ,$89.95,,"['Brand ', 'Model ', 'Part ', 'Type ', 'Color ', 'Frequency Response ', 'THD ', 'Input Impedance ', 'Sensitivity ', 'Connector ', 'Ear Coupling ', 'Cord Length ', 'Weight ', 'Microphone Frequency Response ', 'Microphone Sensitivity ', 'Features ', 'Package Contents ', 'Date First Available ']","['Sennheiser', 'HD 2.30G WHITE', '506789', 'On-Ear', 'White', '18Hz-22KHz', '<0.5% (1kHz/100dB)', '22 ohms', '115dB S.P.L. at 1KHz', '3.5mm straight plug', 'Supra-aural', '1.4m (4.59 ft.)', '262g', '100Hz-10KHz', '-44dBV/Pa', 'Ultra-slim and lightweight with extra soft earpads for outstanding comfort - you will forget you are wearing them! Clean and minimalist design Robust, foldable headband for easy storage on the go Handy tangle free cable Great stereo sound quality with bass emphasis Closed-back design and ergonomic earpads reduce background noise and provide immersive detail HD 2.30G has an integrated 3-button smart remote with in-line microphone for controlling calls and music HD 2.30G feature detachable cablesHD 2.30G is supplied with a soft carry pouch', 'HD 2.30 headsetRCA 2.30 - 1.4m detachable single-sided cable with 3-button remoteAngled plugStorage pouch', 'September 16, 2016']"
Sennheiser Momentum Free Bluetooth Wireless In-Ear Headphones Special Edition (508698),0TH-0036-00CH3, , ,$199.95,,"['Brand ', 'Series ', 'Model ', 'Part ', 'Type ', 'Frequency Response ', 'THD ', 'Sensitivity ', 'Wireless Type ', 'Battery ', 'Distance ', 'Package Contents ', 'Date First Available ']","['Sennheiser', 'Momentum Free', 'Momentum Free Special Edition', '508698', 'In-Ear', '15Hz-22KHz', '<0.5%', '- 44 dB V/PaSending Loudness Rating (SLR)Wideband: 10dB +/- 5dBNarrowband: 8dB +/- 5dB', 'Bluetooth 4.2', 'Built-in Rechargeable Lithium-ion Polymer (~85mAh) with more than 500 charges', 'Up to 10 meters', 'Wireless HeadsetUSB Charging CableEar Adaptor Set (XS, S, M, L)Carrying CaseSafety & Quick Guides', 'June 17, 2020']"
Sennheiser HD 2.30i (506717) On-Ear Headphones / iPhone - Black,N82E16826106859, , ,$89.95,,"['Brand ', 'Model ', 'Part ', 'Type ', 'Color ', 'Frequency Response ', 'THD ', 'Input Impedance ', 'Sensitivity ', 'Connector ', 'Ear Coupling ', 'Cord Length ', 'Weight ', 'Microphone Frequency Response ', 'Microphone Sensitivity ', 'Features ', 'Package Contents ', 'Date First Available ']","['Sennheiser', 'HD 2.30i BLACK', '506717', 'On-Ear', 'Black', '18Hz-22KHz', '<0.5% (1kHz/100dB)', '22 ohms', '115dB S.P.L. at 1KHz', '3.5mm straight plug', 'Supra-aural', '1.4m (4.59 ft.)', '262g', '100Hz-10KHz', '-44dBV/Pa', 'Ultra-slim and lightweight with extra soft earpads for outstanding comfort - you will forget you are wearing them! Clean and minimalist design Robust, foldable headband for easy storage on the go Handy tangle free cable Great stereo sound quality with bass emphasis Closed-back design and ergonomic earpads reduce background noise and provide immersive detail HD 2.30i has an integrated 3-button smart remote with in-line microphone for controlling calls and music HD 2.30i features detachable cables HD 2.30i is supplied with a soft carry pouch', 'HD 2.30 headsetRCA 2.30 - 1.4m detachable single-sided cable with 3-button remoteAngled plugStorage pouch', 'September 16, 2016']"
Sennheiser 506790 HD 2.30i On-Ear Headphones / iPhone (White),0TH-0036-00A08, , ,$89.95,,"['Brand ', 'Model ', 'Type ', 'Color ', 'Frequency Response ', 'THD ', 'Input Impedance ', 'Sensitivity ', 'Connector ', 'Ear Coupling ', 'Cord Length ', 'Weight ', 'Microphone Frequency Response ', 'Microphone Sensitivity ', 'Features ', 'Package Contents ', 'Date First Available ']","['Sennheiser', 'HD 2.30i', 'On-Ear', 'White', '18Hz-22KHz', '<0.5% (1kHz/100dB)', '22 ohms', '115dB S.P.L. at 1KHz', '3.5mm straight plug', 'Supra-aural', '1.4m (4.59 ft.)', '262g', '100Hz-10KHz', '-44dBV/Pa', 'Ultra-slim and lightweight with extra soft earpads for outstanding comfort - you will forget you are wearing them!Clean and minimalist designRobust, foldable headband for easy storage on the goHandy tangle free cableGreat stereo sound quality with bass emphasisClosed-back design and ergonomic earpads reduce background noise and provide immersive detailHD 2.30i has an integrated 3-button smart remote with in-line microphone for controlling calls and musicHD 2.30i features detachable cablesHD 2.30i is supplied with a soft carry pouch', 'HD 2.30 headsetRCA 2.30 - 1.4m detachable single-sided cable with 3-button remoteAngled plugStorage pouch', 'May 14, 2020']"
Philips SHB2505BL UpBeat True Wireless In-ear Headphones - Blue,N82E16826138368, , ,$59.99,,"['Brand ', 'Series ', 'Model ', 'Type ', 'Color ', 'Driver Unit ', 'Frequency Response ', 'Wireless Type ', 'Battery ', 'Operating Time ', 'Distance ', 'Features ', 'Package Contents ', 'Date First Available ']","['PHILIPS', 'UpBeat', 'SHB2505BL', 'True Wireless In-Ear', 'Blue', '6mm', '20Hz–20KHz', 'Bluetooth version: Bluetooth 5.0Bluetooth profiles: A2DP, AVRCP, Handsfree, HFP, HSP', 'Lithium-Ion', 'Music playtime: 3+9 hrStandby time: 60hrTalk time: 2.5hr', 'Up to 10m', ""Ready to go. Up to 20 hours play time.6 mm neodymium acoustic drivers. Great sound, punchy bassPortable charging case. Multiple charges in your pocketGet up to 20 hours play time and 14 hours talk timeMono mode for when you want to leave one ear freeFeels good. Looks good.Oval acoustic tube. Comfort and passive noise isolationSoft rubberized wing tips. Secure and comfortableEar-tip covers in small, medium, and large-for a perfect fitEasy pairing. Voice control.Built-in mic with echo cancellation for clear audioSmart pairing. Automatically find your Bluetooth deviceMulti-function button. Easily control music and callsA double button-press wakes your phone's voice assistant"", '3 sizes ear capsUSB charging cable', 'June 01, 2020']"
Beyerdynamic DT 770 Pro 32 Ohm (483664) Studio Reference Headphones (Closed),0TH-00JD-001T7, , ,$179.00,,"['Brand ', 'Model ', 'Part ', 'Type ', 'Frequency Response ', 'THD ', 'Input Impedance ', 'Connector ', 'Ear Coupling ', 'Cord Length ', 'Weight ', 'Features ', 'Date First Available ']","['Beyerdynamic', 'DT 770 Pro 32 Ohm', '483664', 'Over the Ear', '5Hz-35KHz', '< 0.2%', '32 ohms', 'Gold plated stereo jack plug (3.5 mm) and 1/4"" adapter (6.35 mm)', 'Circumaural', '1.6m straight cable', '270g', 'Closed diffuse field studio headphoneInnovative bass reflex systemRobust spring steel headbandSingle sided cableSoft inner headbandGold plated jack plug (3.5 mm) and adapter (6.35 mm)', 'March 12, 2020']"
Beyerdynamic DT 880 Pro 250 Ohm (490970) Hi-Fi Headphones (Semi-open),9SIA3JX5S30669,93%,972,187.95,,"['Brand ', 'Series ', 'Model ', 'Part ', 'Type ', 'Frequency Response ', 'THD ', 'Input Impedance ', 'Power Supply ', 'Sensitivity ', 'Connector ', 'Ear Coupling ', 'Cord Length ', 'Weight ', 'Features ', 'Date First Available ']","['Beyerdynamic', 'DT 880', 'DT 880 PRO 250 Ohm', '490970', 'Over the Ear', '5Hz-35KHz', 'Nominal T.H.D: < 0.2%', '250 ohms', 'Power handling capacity: 100 mW', '96 dB/mW', 'Gold plated stereo mini jack plug (3.5 mm) and 1/4"" adapter (6.35 mm)', 'Circumaural', '9.80 ft.', '0.65 lb.', 'Semi-open studio headphoneRugged headband constructionSingle-sided cableSoft headband padGold plated stereo jack plug (3.5 mm) & 1/4"" adapter (6.35 mm)', 'January 09, 2019']"
Sennheiser Momentum True Wireless 2 Noise Cancelling Earbuds,0TH-030R-00036, , ,299.95,,"['Brand ', 'Series ', 'Model ', ' ', 'Type ', 'Color ', 'Driver Unit ', 'Frequency Response ', ' ', ' ', 'Sensitivity ', 'Connector ', 'Ear Coupling ', 'Noise Cancelling ', 'Wireless Type ', ' ', ' ', 'Microphone Frequency Response ', 'Compatibility ', ' ', ' ', 'Date First Available ']","['Sennheiser', 'Momentum True Wireless 2', 'M3IETW2 Black', '508674', 'In-Ear', 'Black', '7mm diameter dynamic', '5Hz-21KHz', '<0.08% (1kHz / 94dB)', '5V, 650 mA max, USB charging via USB-C socket at charging case', '107 dB SPL (1 kHz / 1 mW)', 'Yes', 'In-ear, closed acoustics', 'Single-Mic ANC per earbud side', 'Bluetooth 5.1', 'Built-in Lithium-Ion rechargeable batteries', 'Up to 7 hrs music playtime with earbuds. \nUp to 28 hrs overall music playtime with charging case.', '100Hz-10KHz', 'N/A', ""Delivers best possible listening experience at anytime\n7mm dynamic driver: Experience superior sound quality from audio specialist Sennheiser\nBuilt-in equalizer: Personalizing your audio experience\nANC & Transparent Hearing: Block out or listen to your surroundings - the choice is yours\n\nSimplifies your life during the day\nCustomizable touch controls: Let you define your personal interface for effortless control\nSmart Pause: Don't miss any part of your favorite song with automatic play/pause feature\nVoice Assistant support: Interact at a touch with Google Assistant and Apple Siri\n\nDesigned for full day wearing\n7 + 21 hour playtime: Listen to music for up to 28 hours thanks to the charging case\nImproved ergonomic design: Revel in sound it its smallest, most comfy form\nCraftsmanship: Quality that you expect from Sennheiser brand\nIPX4: Splash resistant design for all weather conditions"", 'MOMENTUM True Wireless 2 earbuds\nCharging case\nUSB-C charging cable\nSilicone ear adapter sets (XS/S/M/L)', 'April 17, 2020']"
