name,wm_ID,rating,num_of_rating,price,feat_labels,feat_values,about_text,about_details
Apple AirPods with Charging Case (Latest Model),Walmart #  574838724,4.7,4237 ratings,$129.00 ,"['Headphone Type', 'Headphone Style', 'Wireless', 'Recommended Use', 'Compatible Devices', 'Wireless Technology']","['In-Ear Headphones', 'In-Ear', 'Y', 'Portable electronics', 'iPhone|MacBook|iPad|Apple Watch|Apple TV|iPod Touch', 'Bluetooth']","NOTE: This model contains the standard lightning charging case, NOT the wireless charging case. The new AirPods combine intelligent design with breakthrough technology and crystal clear sound. Powered by the new Apple H1 headphone chip, AirPods now feature hands-free access to Siri using just your voice. And up to 3 hours of talk time on a single charge.Key Features  Automatically on, automatically connected Easy setup for all your apple devices(2) Quick access to Siri by saying ""Hey Siri"" Double-tap to play or skip forward New Apple H1 headphone clip delivers faster wireless connection to your devices Charges quickly in the case Case can be charged using the lightning connector Rich, high-quality audio and voice Seamless switching between devices Listen and talk all day with multiple charges from the Charging Case(3). Condition : New      Legal       (1)Battery life depends on device settings, environment, usage, and many other factors.      (2)Requires an iCloud account and macOS 10.14.4, iOS 12.2, or watchOS 5.2      (3)Battery life varies by use and configuration.      (4)Requires latest version of iOS.      (5) Battery life depends on device settings, environment, usage, and many other factors.      (6)Testing conducted by Apple in February 2019 using preproduction AirPods (2nd generation), Charging Case, and Wireless Charging Case units and software paired with iPhone XS Max units and prerelease software. Volume was set to 50%. Testing consisted of full AirPods battery discharge with a cellular phone call until the first AirPod stopped playing call audio. The drained AirPods were charged to 100 percent, then the cellular phone call was restarted until the first AirPod stopped playing call audio. This cycle was repeated until both the AirPods and charging case were fully discharged. Battery life depends on device settings, environment, usage, and many other factors.      (7)Testing conducted by Apple in February 2019 using preproduction AirPods (2nd generation), Charging Case, and Wireless Charging Case units and software paired with iPhone XS Max units and prerelease software. The playlist consisted of 358 unique audio tracks purchased from the iTunes Store (256-Kbps AAC encoding). Volume was set to 50%. Testing consisted of full AirPods battery discharge while playing audio until the first AirPod stopped playback. Battery life depends on device settings, environment, usage, and many other factors.      (8)Testing conducted by Apple in February 2019 using preproduction AirPods (2nd generation), Charging Case, and Wireless Charging Case units and software paired with iPhone XS Max units and prerelease software. The playlist consisted of 358 unique audio tracks purchased from the iTunes Store (256-Kbps AAC encoding). Volume was set to 50%. 15-Minute charge testing conducted with drained AirPods that were charged for 15 minutes, then audio playback was started until the first AirPod stopped playback. Battery life depends on device settings, environment, usage, and many other factors.      (9)Testing conducted by Apple in February 2019 using preproduction AirPods (2nd generation), Charging Case, and Wireless Charging Case units and software paired with iPhone XS Max units and prerelease software. Volume was set to 50%. 15-Minute charge testing conducted with drained AirPods that were charged for 15 minutes, then a cellular phone call was started until the first AirPod stopped playing call audio. Battery life depends on device settings, environment, usage, and many other factors.   ","['Automatically on, automatically connected', 'Easy setup for all your apple devices(2)', 'Quick access to Siri by saying ""Hey Siri""', 'Double-tap to play or skip forward', 'New Apple H1 headphone clip delivers faster wireless connection to your devices', 'Charges quickly in the case', 'Case can be charged using the lightning connector', 'Rich, high-quality audio and voice', 'Seamless switching between devices', 'Listen and talk all day with multiple charges from the Charging Case(3).', 'Condition : New']"
Apple AirPods Pro,Walmart #  577856461,4.6,2184 ratings,$219.00 ,"['Headphone Type', 'Headphone Style', 'Wireless', 'Recommended Use', 'Compatible Devices', 'Wireless Technology']","['In-Ear Headphones', 'In-Ear', 'True Wireless', '1', '1', 'Bluetooth']","Active Noise Cancellation for immersive sound. Transparency mode for hearing and connecting with the world around you. A more customizable fit for all-day comfort. Sweat and water resistant (1). All in a super light, in-ear headphone that?s easy to set up with all your Apple devices. (2)    Key Features   Active Noise Cancellation for immersive sound Transparency mode for hearing and connecting with the world around you Three sizes of soft, tapered silicone tips for a customizable fit Sweat and water resistant (1) Adaptive EQ automatically tunes music to the shape of your ear Easy setup for all your Apple devices (2) Quick access to Siri by saying ?Hey Siri? (3) The Wireless Charging Case delivers more than 24 hours of battery life (4)    Legal     (1) AirPods Pro are sweat and water resistant for non-water sports and exercise and are IPX4 rated. Sweat and water resistance are not permanent conditions. The charging case is not sweat or water resistant.       (2) Requires an iCloud account and macOS 10.14.4, iOS 12.2, iPadOS, watchOS 5.2, or tvOS 13.2 or later.         (3) Siri may not be available in all languages or in all areas, and features may vary by area.         (4) Battery life varies by use and configuration. See apple.com/batteries for details.     ","['Active Noise Cancellation for immersive sound', 'Transparency mode for hearing and connecting with the world around you', 'Three sizes of soft, tapered silicone tips for a customizable fit', 'Sweat and water resistant (1)', 'Adaptive EQ automatically tunes music to the shape of your ear', 'Easy setup for all your Apple devices (2)', 'Quick access to Siri by saying ?Hey Siri? (3)', 'The Wireless Charging Case delivers more than 24 hours of battery life (4)']"
Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,230 ratings,$379.00 ,"['Headphone Type', 'Headphone Style', 'Wireless', 'Compatible Devices', 'Wireless Technology']","['On-Ear & Over-Ear', 'Over-Ear', 'Y', 'Bluetooth', 'Bluetooth']","Turn any space into the perfect place to listen to music, make phone calls, or get work done. Featuring powerful noise cancelling, astonishing sound, unrivaled voice pickup, and so much more, Bose Noise Cancelling Headphones 700 reinvent what headphones are and redefine what headphones can be. You can tap into the Google Assistant with the single touch of a button or access the world of Amazon just by saying, ""Alexa."" Prefer Siri? You can still access your phone's built-in voice assistant. The unrivaled microphone system in Bose Headphones 700 adapts to noisy and windy environments so your voice always sounds crystal clear on calls. Your voice sounds clear to your voice assistant, too, so your commands, voice-generated texts, and web searches are captured with unprecedented accuracy. When it comes to noise cancellation, Bose did more than improve the performance - they evolved how you use it. For example, if you're trying to focus in a busy cafe, you can maximize the noise cancelling to eliminate distractions. For times when you'd feel more comfortable hearing the world around you, like if you were walking down a congested city street, you can minimize the noise cancelling so you can hear more of what's going on around you. Fact is, you'll be able to hear the world around you so well, you'll be surprised you're wearing headphones at all. And for all the times where you'd prefer something between these two extremes, there are nine other levels to choose from. When you want to place a coffee order or speak to a coworker, use Conversation Mode. This handy new feature temporarily pauses your content, drops the noise cancelling down to zero, and lets you hear your surroundings for quick conversations. Don't forget about your music. Whether you're listening at low volumes or really want to turn it up, you'll get an immersive listening experience with signature active EQ. Bose Headphones 700 have a stunning new design that features a streamlined stainless-steel headband and a lightweight, comfortable fit for all-day listening. You can manage volume, calls, and music just by touching or swiping the earcup surface. The Bose Music app allows you to personalize your headphone settings so they perform exactly the way you want them to. It also ensures all your Bose smart products work together for a better listening experience. The headphones feature up to 20 hours of wireless battery life and time-based battery power information.   Turn any space into a workplace with powerful noise cancelling, astonishing sound, unrivaled voice pickup. Personalize your environment with 11 levels of noise cancelling - control distractions or let ambient sound in. The unrivaled microphone system isolates your voice so it sounds crystal clear absolutely anywhere. Manage volume, calls, and music just by touching and swiping the earcup surface. Get an immersive listening experience at any volume with signature active EQ. Pick the voice assistant that's right for you. Just press the dedicated VPA button for your Google Assistant - or say ""Alexa."" Or access your phone's native assistant, like Siri. Listen comfortably for hours with a sophisticated design that features a streamlined, lightweight stainless-steel headband and angled earcups for a perfect fit. Customize your controls to prioritize the functions you use most, like noise cancellation levels, voice levels, voice prompts, wake-up words, and more. Get more control from the Bose Music app, which ensures your Bose smart products work together for a more personal experience. Get up to 20 hours of wireless battery life and time-based power information. Bose Headphones 700 are carefully engineered to get better over time. Software updates will automatically add new features to enhance your listening experience.  ",[]
COWIN E7 Active Noise Cancelling Headphones Bluetooth Headphones with Mic Deep Bass Wireless Headphones Over Ear, ,4.7,12277 ratings,$59.99 ,"['Headphone Type', 'Wireless', 'Wireless Technology']","['On-Ear & Over-Ear', 'Y', 'Bluetooth']","The Active Noise Cancelling Over Ear Headphones from Cowin The COWIN E7 Active Noise Cancelling Headphones have powerful Active Noise Cancelling Function. Significant noise reduction for travel, work and anywhere in between. Advanced active noise reduction technology quells airplane cabin noise, city traffic or a busy office, makes you focus on what you want to hear,enjoy your music, movies and videos.    Product Feature  Professional Active Noise Cancelling Technology. Significant noise reduction for travel, work and anywhere in between. Advanced active noise reduction technology quells airplane cabin noise, city traffic or a busy office, makes you focus on what you want to hear,enjoy your music, movies and videos. The noise cancellation function can work well both in wire and wireless mode.   Proprietary 40mm Large-aperture Drivers. Deep, accurate bass response. The Active Noise Cancelling around-ear headphones from COWIN give you crisp, powerful sound and quiet that helps you enjoy your music better. The goal that provide customers with better sound quality, is our constant pursuit.   High-quality Built-in Microphone and NFC Technology. COWIN E7 provides high-quality built-in microphone for hands-free calls, Which is convenient for you to free yourself from wires. NFC pairing aided by voice prompts, promises quick and stable connection with your Bluetooth enabled devices, powerful Bluetooth function.   The Professional Protein Earpad and 90° Swiveling Earcups. More durability and comfort, Enjoy high-quality, Long-listen comfort. Skin texture, lightweight comfortable around-ear fit you can wear all day long. Gentle Reminder: please take off the headphone every 2-3 hrs to get your ears relax, in order to get better hearing enjoyment, and keep the head comfortable.    30 Hours Playtime Per Charge at Bluetooth Mode. A built-in 600mAh battery won't allow your headphones power off, you can enjoy your world without noise for 30 hours' long time. Don't need to worry the power shortage problem on the long travel. 18-month warranty and quick response & friendly customer service. Note: The exclusive authorized seller is COWIN.   Specifications  Impedance: 16Ω S/N: ≥85dB Frequency: 20Hz-20kHz Power supply: Lithium battery or Micro USB cable  Audio source: iPhone, iPad, Samsung, Blackberry, Nexus, Smartphone, Computer, PC, Notebook, MP4, MP3, etc Function spec: Bluetooth, Microphone, AUX, Active Noise Cancelling  What's in the box  Cowin E7 Active Noise Cancelling Bluetooth Headphone Micro USB Cable 3.5mm Audio Cable User Guide Bullet Points:   Better by design.- Music minus the noise.   Frequent flyer's delight.   True-to-life sound.    Precise guitars.   Clear vocals. Clean bass and crisp percussion. ","['Professional Active Noise Cancelling Technology. Significant noise reduction for travel, work and anywhere in between. Advanced active noise reduction technology quells airplane cabin noise, city traffic or a busy office, makes you focus on what you want to hear,enjoy your music, movies and videos. The noise cancellation function can work well both in wire and wireless mode.']"
Apple AirPods with Wireless Charging Case (Latest Model),Walmart #  574839612,4.7,1525 ratings,$159.99 , , ,"The new AirPods combine intelligent design with breakthrough technology and crystal clear sound. Powered by the new Apple H1 headphone chip, AirPods now feature hands-free access to Siri using just your voice. And up to 3 hours of talk time on a single charge.Key Features   Automatically on, automatically connected Easy setup for all your apple devices(2) Quick access to Siri by saying ""Hey Siri"" Double-tap to play or skip forward New Apple H1 headphone clip delivers faster wireless connection to your devices Charges quickly in the case Case can be charged either wirelessly using a Qi-compatible charging mat or using the Lightning connector Rich, high-quality audio and voice Seamless switching between devices Listen and talk all day with multiple charges from the Wireless Charging Case(3)      Legal       (1)Battery life depends on device settings, environment, usage, and many other factors. (2)Requires an iCloud account and macOS 10.14.4, iOS 12.2, or watchOS 5.2. (3)Battery life varies by use and configuration. (4)Requires latest version of iOS. (5) Battery life depends on device settings, environment, usage, and many other factors. (6)Testing conducted by Apple in February 2019 using preproduction AirPods (2nd generation), Charging Case, and Wireless Charging Case units and software paired with iPhone XS Max units and prerelease software. Volume was set to 50%. Testing consisted of full AirPods battery discharge with a cellular phone call until the first AirPod stopped playing call audio. The drained AirPods were charged to 100 percent, then the cellular phone call was restarted until the first AirPod stopped playing call audio. This cycle was repeated until both the AirPods and charging case were fully discharged. Battery life depends on device settings, environment, usage, and many other factors. (7)Testing conducted by Apple in February 2019 using preproduction AirPods (2nd generation), Charging Case, and Wireless Charging Case units and software paired with iPhone XS Max units and prerelease software. The playlist consisted of 358 unique audio tracks purchased from the iTunes Store (256-Kbps AAC encoding). Volume was set to 50%. Testing consisted of full AirPods battery discharge while playing audio until the first AirPod stopped playback. Battery life depends on device settings, environment, usage, and many other factors. (8)Testing conducted by Apple in February 2019 using preproduction AirPods (2nd generation), Charging Case, and Wireless Charging Case units and software paired with iPhone XS Max units and prerelease software. The playlist consisted of 358 unique audio tracks purchased from the iTunes Store (256-Kbps AAC encoding). Volume was set to 50%. 15-Minute charge testing conducted with drained AirPods that were charged for 15 minutes, then audio playback was started until the first AirPod stopped playback. Battery life depends on device settings, environment, usage, and many other factors. (9)Testing conducted by Apple in February 2019 using preproduction AirPods (2nd generation), Charging Case, and Wireless Charging Case units and software paired with iPhone XS Max units and prerelease software. Volume was set to 50%. 15-Minute charge testing conducted with drained AirPods that were charged for 15 minutes, then a cellular phone call was started until the first AirPod stopped playing call audio. Battery life depends on device settings, environment, usage, and many other factors.    ","['Automatically on, automatically connected', 'Easy setup for all your apple devices(2)', 'Quick access to Siri by saying ""Hey Siri""', 'Double-tap to play or skip forward', 'New Apple H1 headphone clip delivers faster wireless connection to your devices', 'Charges quickly in the case', 'Case can be charged either wirelessly using a Qi-compatible charging mat or using the Lightning connector', 'Rich, high-quality audio and voice', 'Seamless switching between devices', 'Listen and talk all day with multiple charges from the Wireless Charging Case(3)']"
Powerbeats Pro Totally Wireless Earphones with Apple H1 Headphone Chip - Navy,Walmart #  576748990,4.4,385 ratings,$242.99 ,"['Headphone Type', 'Wireless', 'Recommended Use', 'Wireless Technology']","['In-Ear Headphones', 'Wireless', 'Portable electronics', 'Bluetooth']","Totally wireless Powerbeats Pro earphones are built to revolutionize your workouts. With zero wires to hold you back, the adjustable, secure-fit earhooks are customizable for extended comfort and stability.A reinforced design for sweat and water resistance lets you take it to the next level. Each earbud has full volume and track controls and up to 9 hours of listening time to fuel your training with powerful, balanced sound.Key Features High-Performance Workout Earphones Powerbeats Pro, powered by the Apple H1 headphone chip, will revolutionize the way you work out. Built for elite athletes, these totally wireless earphones have no wires to hold you back. The adjustable, secure-fit earhooks are customizable with multiple eartip options for extended comfort and are made to stay in place, no matter how hard you go. This lightweight earphone is built for performance with a reinforced design for sweat and water resistance so you can take your workouts to the next level. With up to 9 hours of listening time in each earbud and powerful, balanced sound, you?ll always have your music to motivate you. Sound Like a Pro Powerbeats Pro boast powerful, balanced audio via an entirely redesigned acoustic package, delivering pure sound reproduction, enhanced clarity, and improved dynamic range. Because great sound starts with proper fit, these earbuds were crafted with a focus on ergonomic comfort to deliver the best listening experience possible. Play Both Sides or Just One at a Time Left, right, or both, enjoy ultimate control over your audio. Each earbud has full volume and track controls so you don?t need your device to adjust your music. Optical sensors and motion accelerometers work together to detect when the earbuds are in your ear to jumpstart your workouts as soon as you?re ready to go. With voice capability on a variety of compatible devices, you can stay in the zone. Power. Play. Long hours of training? Marathons? Bring it. Each earbud has up to 9 hours of listening time so you can keep your music going. With the charging case, you?ll get more than 24 hours of combined playback. If you?re in need of extra juice, 5-minute Fast Fuel charging gives 1.5 hours of playback when battery is low (1). To further conserve battery, motion accelerometers detect when they?re idle and automatically enter them into sleep mode. And when you?re ready to use them again, simply put them back in your ears and you?ll be off and running. Wireless That Works Powerbeats Pro are ready to go when you are. With Class 1 Bluetooth technology, these wireless earphones offer extended range and fewer dropouts, so they stay connected as you keep moving. Each earbud connects independently to your device for better connectivity and freedom of use for music and phone calls. A speech-detecting accelerometer and multiple microphones target your voice and filter out external noise. They instantly set up - just open the case and hold near your iPhone - and then automatically connect to your Apple Watch, iPad, or Mac (2). What?s In The Box    Powerbeats Pro totally wireless earphones Charging case Eartips with four size options Lightning to USB-A charging cable Quick start guide Warranty card   (1) Testing conducted by Apple in March 2019 using preproduction Powerbeats Pro and Charging Case units and software paired with iPhone XS units and prerelease software. The playlist consisted of continuous pink noise at 80dB. 5-Minute charge testing conducted with drained Powerbeats Pro that were charged for 5 minutes, then audio playback was started until the first Powerbeats Pro stopped playback. Battery life depends on device settings, environment, usage, and many other factors. (2) Requires an iCloud account and macOS 10.14.4, iOS 12.2, or watchOS 5.2   ","['Powerbeats Pro totally wireless earphones', 'Charging case', 'Eartips with four size options', 'Lightning to USB-A charging cable', 'Quick start guide', 'Warranty card']"
"Philips Hi-Res Audio Wireless Over-Ear Headphone, Black",Walmart #  585827304, ,Write a review,$108.89 ,"['Headphone Type', 'Wireless', 'Recommended Use', 'Wireless Technology']","['On-Ear & Over-Ear', 'Wired/Wireless', 'Portable electronics', 'Bluetooth']","Hear your music, not the rain. You can control the Active Noise Canceling function on these wireless over-ear headphones to match your situation.Philips Hi-Res Audio Wireless Over-Ear Headphone, Black","['Walmart+', 'Grocery Pickup & Delivery', 'MoneyCenter', 'Walmart Credit Card', 'Walmart Pay', 'Weekly Ad', 'Other Services']"
"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",Walmart #  586219737,4.6,77 ratings,$28.99 ,"['Wireless', 'Wireless Technology']","['Y', 'Bluetooth']","Why Choose GPED Wireless Earbuds? ✔GPED bluetooth wireless earbuds can work individually (each earbuds pairs to seperate cellphones).  ✔Automatically power on and pairs each other, don't worry about complicated connections.  ✔Can provide 4 times fully charging by the charging case, one full charging can support more than 5 hours playtime, so you don’t worry the bluetooth wireless headphones is low battery or no battery.   Product Features:   Latest Bluetooth 5.0 & Auto Pairing Our true wireless earbuds with the most advanced Bluetooth 5.0 technology. It owns more stable bluetooth connection and faster transmission speed. Rid of cords, enjoy real wireless. Audio won't cut in and out anymore, your music world will be disturbed no longer. Meanwhile, the auto pairing connection will be more convenient for you to connet headphones with your phones, no complicated connections.   Waterproof & Sweatproof Design IP67 Waterproof Nano-coating efficiently protects the bluetooth wireless earbuds and charging case from sweat or water, perfect for jogging, hiking, yoga, running, skiing, sport, etc. ( NOT for swimming ). If you are a sports enthusiast or a gym enthusiast, GPED true wireless bluetooth earbuds will be the best choice for your family, lover, and friends!   Incredible Hi-Fi Stereo Sound GPED bluetooth earbuds with powerful A2DP/AVRCP audio processing system provides a rich and true-to-life audio, making you lose yourself in the immersive music. Due to the built-in Microphones design, this true wireless earbuds is perfect for hands-free calling, listening to music, chatting, running and so on.   Portable Charging Box Portable charging case is lightweight with large capacity lithium batteries, supporting 4 times fully charging to the wireless earbuds, letting you can get more than 5 hours of playtime after per charge. Meanwhile, the bluetooth headphones can also be automatically powered off and charged while putting back into the charging case!   Share Happiness with Your Friends This bluetooth wireless headphones adopts seperate earbuds design, you can share one earbuds with your friends, family or lover to share and record your happy moment. Meanwhile, the earbuds can be used individually, so you can connect 2 earbud with different cellphones by manual connection.   Q & A: How to pairing those two headsets?  Step 1. For initial use, press and hold the button for 3 seconds of either earbud and release after the LED flashes between Red and Blue. (Voice Notice: Power on - Paring) Step 2. Open the mobile phone bluetooth and search? Air Headset?, then connect it.  Step 3. Pairing the earphone with your mobile phone, the product will be in standby status after pairing completed, Blue LED flashes 5 seconds each time. (Voice Notice: Connected)   Please Note: 1.For incoming call, Press function button once to answer; Press function button twice to reject(When at the calling mode, only master earbud has sound, This safety feature allows you to hear the traffic While driving.) 2.If only one earbud has sound at music mode, please try to recover the default setting. 3.When you receive this package and use the Earbuds at the first time, the working time may not be very long, because we test them before sending them out, That costs some battery. Please don't worry. Charge them and they will work as expected.   Specifications: Color: Black, White Bluetooth Standard: Bluetooth V5.0+EDR Operation Range: 30 feet Talk Time: Up to 6 Hours Playing Time: Up to 3 Hours Charging Time: 1 Hour Battery Capacity: 100mAh   Package Included: 2 x Bluetooth Headset 2 x Ear Tips (S/M/L) 1 x Magnetic Charging Box 1 x USB Cable 1 x User Manual   【BLUETOOTH 5.0 & TWS】Compared with the previous bluetooth 4.2 bluetooth earbuds, GPED wireless headphones adopts most advanced bluetooth 5.0, supporting HSP, HFP, A2DP, AVRCP, you can get faster transmission speed and more stable connection without signal loss or music dropouts; The range is up to 33ft away, with built-in Mic, perfect for hands-free calling, sport, working or listen to music. 【ONE-STEP PAIRING】 - Easy to operate and fast to connect. Only need to take the earbuds out of the charging case, then they will be powered on and paired automatically, making you lose yourself in the immersive music. Meanwhile, the bluetooth headphones can also be automatically powered off and charged while putting back into the charging case. 【COMFORTABLE DESIGN & IP67 WATERPROOF】- This wireless bluetooth earbuds is very lightweight. Their ergonomic design provides a comfortable fit, reducing the pressure of the ear, so you won't feel uncomfortable even if you wear it long time; Thanks to the IP67 waterproof and sweatproof design, GPED bluetooth wireless earbuds will be your best choice for running, biking, learning, jogging, hiking, and gyms. 【20H PLAYTING TIME WITH CHARGING CASE】 - GPED true wirelss earbuds with portable charging case can charge up to 4 times for your headphones and easy to carry; Bluetooth V5.0 massively reduce the level of power consumption, so you can get more than 5 hours of playtime per charging. Never worry about no power when you are out due to the fast charging function(only takes 1.5 hours to fully charged). 【INDIVIDUAL USAGE BLUETOOTH EARPIECE】 - GPED bluetooth headset not only uses a separate headphones earbuds design, also can work as a individual use, so you can use a pair of earbuds with your family, friends and lovers to record your friendship, love, sharing your happy moment, is the most memorable gift. ","['【BLUETOOTH 5.0 & TWS】Compared with the previous bluetooth 4.2 bluetooth earbuds, GPED wireless headphones adopts most advanced bluetooth 5.0, supporting HSP, HFP, A2DP, AVRCP, you can get faster transmission speed and more stable connection without signal loss or music dropouts; The range is up to 33ft away, with built-in Mic, perfect for hands-free calling, sport, working or listen to music.', '【ONE-STEP PAIRING】 - Easy to operate and fast to connect. Only need to take the earbuds out of the charging case, then they will be powered on and paired automatically, making you lose yourself in the immersive music. Meanwhile, the bluetooth headphones can also be automatically powered off and charged while putting back into the charging case.', ""【COMFORTABLE DESIGN & IP67 WATERPROOF】- This wireless bluetooth earbuds is very lightweight. Their ergonomic design provides a comfortable fit, reducing the pressure of the ear, so you won't feel uncomfortable even if you wear it long time; Thanks to the IP67 waterproof and sweatproof design, GPED bluetooth wireless earbuds will be your best choice for running, biking, learning, jogging, hiking, and gyms."", '【20H PLAYTING TIME WITH CHARGING CASE】 - GPED true wirelss earbuds with portable charging case can charge up to 4 times for your headphones and easy to carry; Bluetooth V5.0 massively reduce the level of power consumption, so you can get more than 5 hours of playtime per charging. Never worry about no power when you are out due to the fast charging function(only takes 1.5 hours to fully charged).', '【INDIVIDUAL USAGE BLUETOOTH EARPIECE】 - GPED bluetooth headset not only uses a separate headphones earbuds design, also can work as a individual use, so you can use a pair of earbuds with your family, friends and lovers to record your friendship, love, sharing your happy moment, is the most memorable gift.']"
Skull Candy Jib W/mic Black/black,Walmart #  564871457,4.2,369 ratings,$9.88 ,"['Headphone Type', 'Wireless', 'Wireless Technology']","['In-Ear Headphones', 'N', 'None']","Jib earbuds with mic let you manage calls and music thanks to an inline microphone and remote with call, track, and volume controls. Quality ear gels create a noise isolating fit so your music stays in, and everything else stays out.  1. Supreme Sound?      2. Noise Isolating Fit      3. In-Line Microphone   ","['Specifications', 'Comparison Chart']"
"On Ear Headphones with Mic, Jelly Comb Foldable Corded Headphones Wired Headsets with Microphone, Volume Control for Cell Phone, Tablet, PC, Laptop, MP3/4, Video Game", ,4.2,268 ratings,$19.95 ,"['Headphone Type', 'Compatible Devices', 'Wireless Technology']","['On-Ear & Over-Ear', 'for Cell Phone, Tablet, PC, Laptop, MP3/4, Video Game', 'None']","? PREMIUM COMFORT ON-EAR HEADPHONES: Comfortable on-ear lightweight design along with soft ear cushions and adjustable padded headband provide premium comfort even during long listening sessions.? FOLDABLE AND PORTABLE HEADPHONES: Foldable design for portability makes the corded headphones easy to put into your package and take along anywhere. ? MULTI-FUNCTION IN-LINE CONTROL: The corded headphones features an in-line microphone for hands-free phone calls with one button control and one volume control. Adjust the volume to a comfortable level, easily control your music: Play, Pause, Previous, Next. ? STEREO BASS: Excellent rich & dynamic sound quality with bass response, delivering competitive acoustic performance with a unique look and feel.? UNIVERSAL COMPATIBILITY: Equipped with 46"" tangle-free cable, compatible with almost all 3.5mm jack audio devices: iPhone, iPad, iPod, Android cell phones, tablets, PC, laptops, Mac and more. The on-ear headphones with mic, designed with stretchable headband and soft leather earmuffs, fit perfectly and securely on your head, which you can wear all day without any discomfort. Unique in-line control design makes it easy to adjust the volume, enjoy music and chat with your friends. Stereo bass sound provides you the superior audio experience. Features:? Fashionable stylish sleek and trendy design.? Rich and dynamic sound with stereo bass.? Lightweight and foldable design for convenient storage and carrying. Flexible headband for easier sizing.? Minimize outside noise due to soft cushioned, pressure-relieving ear padding. ? 46 inches tangle-free cord with multi-function in-line control, adjust the volume at your fingertips, easily control your music with one button: pause, play, next song, previous song.? Built-in microphone makes hands-free talk at ease anytime.? Support all devices with a 3.5mm jack: Cellphones, tablets, PC, laptops, MP3/4, etc. Specifications:Frequency Response: 20-20KHzImpedance: 32ohm±15%Sensitivity: 103dB±15%Cable Length: 46 inchMicrophone: Built-inJack: 3.5mmPackage Included:1 x Headphones ","['? MULTI-FUNCTION IN-LINE CONTROL: The corded headphones features an in-line microphone for hands-free phone calls with one button control and one volume control. Adjust the volume to a comfortable level, easily control your music: Play, Pause, Previous, Next.', '? STEREO BASS: Excellent rich & dynamic sound quality with bass response, delivering competitive acoustic performance with a unique look and feel.? UNIVERSAL COMPATIBILITY: Equipped with 46"" tangle-free cable, compatible with almost all 3.5mm jack audio devices: iPhone, iPad, iPod, Android cell phones, tablets, PC, laptops, Mac and more.', 'The on-ear headphones with mic, designed with stretchable headband and soft leather earmuffs, fit perfectly and securely on your head, which you can wear all day without any discomfort. Unique in-line control design makes it easy to adjust the volume, enjoy music and chat with your friends. Stereo bass sound provides you the superior audio experience.', 'Features:? Fashionable stylish sleek and trendy design.? Rich and dynamic sound with stereo bass.? Lightweight and foldable design for convenient storage and carrying. Flexible headband for easier sizing.? Minimize outside noise due to soft cushioned, pressure-relieving ear padding.', '? 46 inches tangle-free cord with multi-function in-line control, adjust the volume at your fingertips, easily control your music with one button: pause, play, next song, previous song.? Built-in microphone makes hands-free talk at ease anytime.? Support all devices with a 3.5mm jack: Cellphones, tablets, PC, laptops, MP3/4, etc.', 'Specifications:Frequency Response: 20-20KHzImpedance: 32ohm±15%Sensitivity: 103dB±15%Cable Length: 46 inchMicrophone: Built-inJack: 3.5mmPackage Included:1 x Headphones']"
