name,wm_ID,rating,num_of_rating,price,feat_labels,feat_values,about_text,about_details
"JLab Audio Go Air True Wireless Earbuds + Charging Case | Black | Dual Connect | IP44 Sweat Resistance | Bluetooth 5.0 Connection | 3 EQ Sound Settings: JLab Signature, Balanced, Bass Boost",Walmart #  578692343,4.0,927 ratings,$20.00,"['Headphone Type', 'Headphone Style', 'Wireless', 'Recommended Use', 'Compatible Devices', 'Wireless Technology']","['Earbuds', 'In-Ear', 'Y', 'Portable electronics', 'iPhone, iPad, Galaxy, One, Surface, Android, iOS, Tablets, Mobile Devices', 'Bluetooth']","GO Air True Wireless Earbuds are our smallest fit ever, 20% smaller than JBuds Air, and offer 20+ hours of total playtime. The slimmer case is easily accessible, and a strong magnet secures the buds especially when you are on-the-GO. Easy on the wallet, JLab GO Air features touch controls and dual connect, allowing the earbuds to be used independently. GO Air features 5 hours of playtime in each earbud and 15+ extra hours from the charging case. That's 20+ hours of playtime. Recharge hassle-free with the charging case and integrated charging cable. Use either earbud independently or use both and experience a seamless connection no matter the situation. Both earbuds auto connect to your device, so no need to worry about switching or missing a connection. A built-in MEMS microphone in each bud ensures clear calls. Go Air are 20% smaller than the JBuds Air. This means a slimmer profile, great for smaller ears. A longer earbud stem provides a more snug in-ear fit, creating a perfect seal for crystal clear sound. Pocket friendly case features an integrated charging cable for on-the-GO.Featuring 8mm neodymium drivers, GO Air provides a crystal clear sound. With the optimal fit. Try all three gel tip sizes to achieve a secure in-ear seal. You'll enjoy amazing sound for all your tunes, calls and more. With just a tap or two via touch sensors, you can choose the sound to match your personal preference between: JLab Signature, Balanced and Bass Boost modes without an app. INCLUDES: GO Air Earbuds, Charging Case w/ Integrated Charging Cable, 3 Sets Gel Tips: Small, Medium, Large, JLab Two Year Warranty. JLab GO Air True Wireless Earbuds:  Our smallest fit ever, 20% smaller than JBuds Air Pocket friendly case features an integrated charging cable for on-the-GO Case is easily accessible, and a strong magnet secures the buds especially when you are on-the-GO Built-in MEMS microphone in each bud for clear phone calls Featuring 8mm neodymium driver they provide a crystal clear sound Choose the sound to match your personal preference between: JLab Signature, Balanced and Bass Boost modes Use either earbud independently or use both Both earbuds auto connect to your device INCLUDES: GO Air Earbuds, Charging Case with Integrated Charging Cable, 3 Sets Gel Tips: Small, Medium, Large, JLab Two Year Warranty ","['Our smallest fit ever, 20% smaller than JBuds Air', 'Pocket friendly case features an integrated charging cable for on-the-GO', 'Case is easily accessible, and a strong magnet secures the buds especially when you are on-the-GO', 'Built-in MEMS microphone in each bud for clear phone calls', 'Featuring 8mm neodymium driver they provide a crystal clear sound', 'Choose the sound to match your personal preference between: JLab Signature, Balanced and Bass Boost modes', 'Use either earbud independently or use both', 'Both earbuds auto connect to your device', 'INCLUDES: GO Air Earbuds, Charging Case with Integrated Charging Cable, 3 Sets Gel Tips: Small, Medium, Large, JLab Two Year Warranty']"
JLab Audio Studio ANC On-Ear Wireless Headphones,Walmart #  578692346,4.3,42 ratings,$30.00,"['Headphone Type', 'Headphone Style', 'Wireless', 'Recommended Use', 'Compatible Devices', 'Wireless Technology']","['On-Ear & Over-Ear', 'On-Ear', 'Y', 'Portable electronics', 'iPhone, iPad, Galaxy, One, Surface, Android, iOS, Tablets, Mobile Devices', 'Bluetooth']","GO Anywhere, without distractions.  Enjoy all-day comfort and distraction-free music with the new Studio ANC. A long 34+ hour Bluetooth battery life lets you listen to your music for long periods, or enjoy 28+ hours of Bluetooth and ANC playtime to tune out unwanted sounds. Turn on or off ANC with just a push of a button. Control your music with the touch of a button while you hit the beach, travel, or just relax. Their ultra-plush Faux Leather and Cloud Foam ear cushions and headband provide a studio look and feel. Fold up and FINDYOURGO without the effort.   34+ Hour Bluetooth Playtime: A long 34+ hour playtime will keep you GOing all day. When using ANC to tune out noise around you, you’ll get 28+ hours of Bluetooth playtime. Connect from up to 30 feet away with no strings attached.   Active Noise Cancellation: Turn off distractions, by turning on ANC and eliminating those unwanted noises such as a plane engine, chatty passengers, or just everyday traffic. Two microphones collect outside noises and neutralize them while a third targets your voice for calls.   Studio Comfort: With Cloud Foam™ earcups and a faux leather headband, you’ll experience endless comfort all day long. Adjustable hinges adjust to fit your head for any travel, workout, or commute.   Music to-GO: Built for everyone who can’t get enough music, the smooth-sliding metal adjustments and feather light build are ready to hit the road. The plush circular ear cups rotate 80 degrees and fold up in the palm of your hand so you can bring them wherever life takes you.   Total Control: You’re in charge. Easily adjust the volume, play or pause, and skip tracks with a quick click track control. Accept or reject calls with the universal mic and activate Siri or Google Assistant while you’re on-the-GO.   INCLUDES: Studio ANC Wireless Headphones, Micro USB Charging Cable, 3.5mm AUX-IN Cable, Travel Bag.JLab Audio Studio ANC On-Ear Wireless Headphones:  34+ hour Bluetooth battery life Control your music with the touch of a button while you hit the beach, travel, or just relax Ultra-plush Faux Leather and Cloud Foam ear cushions and headband provide a studio look and feel Connect from up to 30 feet away with no strings attached active noise cancellation Plush circular ear cups rotate 80 degrees and fold up in the palm of your hand Easily adjust the volume, play or pause, and skip tracks with a quick click track control Accept or reject calls with the universal mic and activate Siri or Google Assistant Includes: studio anc wireless headphones, micro usb charging cable, 3.5mm aux-in cable, travel bag ","['34+ hour Bluetooth battery life', 'Control your music with the touch of a button while you hit the beach, travel, or just relax', 'Ultra-plush Faux Leather and Cloud Foam ear cushions and headband provide a studio look and feel', 'Connect from up to 30 feet away with no strings attached', 'active noise cancellation', 'Plush circular ear cups rotate 80 degrees and fold up in the palm of your hand', 'Easily adjust the volume, play or pause, and skip tracks with a quick click track control', 'Accept or reject calls with the universal mic and activate Siri or Google Assistant', 'Includes: studio anc wireless headphones, micro usb charging cable, 3.5mm aux-in cable, travel bag']"
Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,236 ratings,$379.00,"['Headphone Type', 'Headphone Style', 'Wireless', 'Compatible Devices', 'Wireless Technology']","['On-Ear & Over-Ear', 'Over-Ear', 'Y', 'Bluetooth', 'Bluetooth']","Turn any space into the perfect place to listen to music, make phone calls, or get work done. Featuring powerful noise cancelling, astonishing sound, unrivaled voice pickup, and so much more, Bose Noise Cancelling Headphones 700 reinvent what headphones are and redefine what headphones can be. You can tap into the Google Assistant with the single touch of a button or access the world of Amazon just by saying, ""Alexa."" Prefer Siri? You can still access your phone's built-in voice assistant. The unrivaled microphone system in Bose Headphones 700 adapts to noisy and windy environments so your voice always sounds crystal clear on calls. Your voice sounds clear to your voice assistant, too, so your commands, voice-generated texts, and web searches are captured with unprecedented accuracy. When it comes to noise cancellation, Bose did more than improve the performance - they evolved how you use it. For example, if you're trying to focus in a busy cafe, you can maximize the noise cancelling to eliminate distractions. For times when you'd feel more comfortable hearing the world around you, like if you were walking down a congested city street, you can minimize the noise cancelling so you can hear more of what's going on around you. Fact is, you'll be able to hear the world around you so well, you'll be surprised you're wearing headphones at all. And for all the times where you'd prefer something between these two extremes, there are nine other levels to choose from. When you want to place a coffee order or speak to a coworker, use Conversation Mode. This handy new feature temporarily pauses your content, drops the noise cancelling down to zero, and lets you hear your surroundings for quick conversations. Don't forget about your music. Whether you're listening at low volumes or really want to turn it up, you'll get an immersive listening experience with signature active EQ. Bose Headphones 700 have a stunning new design that features a streamlined stainless-steel headband and a lightweight, comfortable fit for all-day listening. You can manage volume, calls, and music just by touching or swiping the earcup surface. The Bose Music app allows you to personalize your headphone settings so they perform exactly the way you want them to. It also ensures all your Bose smart products work together for a better listening experience. The headphones feature up to 20 hours of wireless battery life and time-based battery power information.   Turn any space into a workplace with powerful noise cancelling, astonishing sound, unrivaled voice pickup. Personalize your environment with 11 levels of noise cancelling - control distractions or let ambient sound in. The unrivaled microphone system isolates your voice so it sounds crystal clear absolutely anywhere. Manage volume, calls, and music just by touching and swiping the earcup surface. Get an immersive listening experience at any volume with signature active EQ. Pick the voice assistant that's right for you. Just press the dedicated VPA button for your Google Assistant - or say ""Alexa."" Or access your phone's native assistant, like Siri. Listen comfortably for hours with a sophisticated design that features a streamlined, lightweight stainless-steel headband and angled earcups for a perfect fit. Customize your controls to prioritize the functions you use most, like noise cancellation levels, voice levels, voice prompts, wake-up words, and more. Get more control from the Bose Music app, which ensures your Bose smart products work together for a more personal experience. Get up to 20 hours of wireless battery life and time-based power information. Bose Headphones 700 are carefully engineered to get better over time. Software updates will automatically add new features to enhance your listening experience.  ",[]
COWIN E7 Active Noise Cancelling Headphones Bluetooth Headphones with Mic Deep Bass Wireless Headphones Over Ear,Walmart #  583133455,4.7,12278 ratings,$59.99,"['Headphone Type', 'Wireless', 'Wireless Technology']","['On-Ear & Over-Ear', 'Y', 'Bluetooth']","The Active Noise Cancelling Over Ear Headphones from Cowin The COWIN E7 Active Noise Cancelling Headphones have powerful Active Noise Cancelling Function. Significant noise reduction for travel, work and anywhere in between. Advanced active noise reduction technology quells airplane cabin noise, city traffic or a busy office, makes you focus on what you want to hear,enjoy your music, movies and videos.    Product Feature  Professional Active Noise Cancelling Technology. Significant noise reduction for travel, work and anywhere in between. Advanced active noise reduction technology quells airplane cabin noise, city traffic or a busy office, makes you focus on what you want to hear,enjoy your music, movies and videos. The noise cancellation function can work well both in wire and wireless mode.   Proprietary 40mm Large-aperture Drivers. Deep, accurate bass response. The Active Noise Cancelling around-ear headphones from COWIN give you crisp, powerful sound and quiet that helps you enjoy your music better. The goal that provide customers with better sound quality, is our constant pursuit.   High-quality Built-in Microphone and NFC Technology. COWIN E7 provides high-quality built-in microphone for hands-free calls, Which is convenient for you to free yourself from wires. NFC pairing aided by voice prompts, promises quick and stable connection with your Bluetooth enabled devices, powerful Bluetooth function.   The Professional Protein Earpad and 90° Swiveling Earcups. More durability and comfort, Enjoy high-quality, Long-listen comfort. Skin texture, lightweight comfortable around-ear fit you can wear all day long. Gentle Reminder: please take off the headphone every 2-3 hrs to get your ears relax, in order to get better hearing enjoyment, and keep the head comfortable.    30 Hours Playtime Per Charge at Bluetooth Mode. A built-in 600mAh battery won't allow your headphones power off, you can enjoy your world without noise for 30 hours' long time. Don't need to worry the power shortage problem on the long travel. 18-month warranty and quick response & friendly customer service. Note: The exclusive authorized seller is COWIN.   Specifications  Impedance: 16Ω S/N: ≥85dB Frequency: 20Hz-20kHz Power supply: Lithium battery or Micro USB cable  Audio source: iPhone, iPad, Samsung, Blackberry, Nexus, Smartphone, Computer, PC, Notebook, MP4, MP3, etc Function spec: Bluetooth, Microphone, AUX, Active Noise Cancelling  What's in the box  Cowin E7 Active Noise Cancelling Bluetooth Headphone Micro USB Cable 3.5mm Audio Cable User Guide Bullet Points:   Better by design.- Music minus the noise.   Frequent flyer's delight.   True-to-life sound.    Precise guitars.   Clear vocals. Clean bass and crisp percussion. ","['Professional Active Noise Cancelling Technology. Significant noise reduction for travel, work and anywhere in between. Advanced active noise reduction technology quells airplane cabin noise, city traffic or a busy office, makes you focus on what you want to hear,enjoy your music, movies and videos. The noise cancellation function can work well both in wire and wireless mode.']"
"onn. True Wireless Earphones, White",Walmart #  578713291,4.0,271 ratings,$19.88,"['Headphone Type', 'Headphone Style', 'Wireless', 'Compatible Devices', 'Wireless Technology']","['Earbuds', 'In-Ear', 'Y', 'Android/iOS', 'Bluetooth']","Jam out! Your moves just got a whole lot smoother - with our Wireless Earphones you won’t have to worry about cords tripping you up while you perfect your Running Man! Each charge gives you 4 hours of playtime - and with 2 extra charges in the case, you’ve got 12 hours of total playtime! They instantly power on and pair with your Bluetooth device. Doesn’t that sound like music to your ears? Groove onn. We’re onn. to something here. We took the hassle out of buying electronics and built a brand that’s fresh and simple. With delightful pops of color, finding the right product has never been easier. Say goodbye to stressful decision-making and fear of the electronics aisle. Our mission is simple… to deliver great products and make it easy. Choose onn. and get back to using your brainpower for the important things in life… like pondering the question, ""What should I binge watch this weekend?” onn. Wireless Earphones with Charging Case:  Bluetooth wireless technology streams audio from all your devices Up to 33 ft (10 m) wireless range High definition sound Ideal for indoor and outdoor activities 4 hours playtime with 2 extra charging case charges IPX5 Waterproof High definition sound with deep bass and clear treble What’s in the box? 1 Pair Wireless Earphones, 1 Micro-USB charging cable 9 in (23 cm), 1 Charging case, 3 Sizes of silicone ear tips, 1 Quick Start Guide ","['Bluetooth wireless technology streams audio from all your devices', 'Up to 33 ft (10 m) wireless range', 'High definition sound', 'Ideal for indoor and outdoor activities', '4 hours playtime with 2 extra charging case charges', 'IPX5 Waterproof', 'High definition sound with deep bass and clear treble', 'What’s in the box? 1 Pair Wireless Earphones, 1 Micro-USB charging cable 9 in (23 cm), 1 Charging case, 3 Sizes of silicone ear tips, 1 Quick Start Guide']"
Apple AirPods with Charging Case (Latest Model),Walmart #  574838724,4.7,4318 ratings,$129.00,"['Headphone Type', 'Headphone Style', 'Wireless', 'Recommended Use', 'Compatible Devices', 'Wireless Technology']","['In-Ear Headphones', 'In-Ear', 'Y', 'Portable electronics', 'iPhone|MacBook|iPad|Apple Watch|Apple TV|iPod Touch', 'Bluetooth']","NOTE: This model contains the standard lightning charging case, NOT the wireless charging case. The new AirPods combine intelligent design with breakthrough technology and crystal clear sound. Powered by the new Apple H1 headphone chip, AirPods now feature hands-free access to Siri using just your voice. And up to 3 hours of talk time on a single charge.Key Features  Automatically on, automatically connected Easy setup for all your apple devices(2) Quick access to Siri by saying ""Hey Siri"" Double-tap to play or skip forward New Apple H1 headphone clip delivers faster wireless connection to your devices Charges quickly in the case Case can be charged using the lightning connector Rich, high-quality audio and voice Seamless switching between devices Listen and talk all day with multiple charges from the Charging Case(3). Condition : New      Legal       (1)Battery life depends on device settings, environment, usage, and many other factors.      (2)Requires an iCloud account and macOS 10.14.4, iOS 12.2, or watchOS 5.2      (3)Battery life varies by use and configuration.      (4)Requires latest version of iOS.      (5) Battery life depends on device settings, environment, usage, and many other factors.      (6)Testing conducted by Apple in February 2019 using preproduction AirPods (2nd generation), Charging Case, and Wireless Charging Case units and software paired with iPhone XS Max units and prerelease software. Volume was set to 50%. Testing consisted of full AirPods battery discharge with a cellular phone call until the first AirPod stopped playing call audio. The drained AirPods were charged to 100 percent, then the cellular phone call was restarted until the first AirPod stopped playing call audio. This cycle was repeated until both the AirPods and charging case were fully discharged. Battery life depends on device settings, environment, usage, and many other factors.      (7)Testing conducted by Apple in February 2019 using preproduction AirPods (2nd generation), Charging Case, and Wireless Charging Case units and software paired with iPhone XS Max units and prerelease software. The playlist consisted of 358 unique audio tracks purchased from the iTunes Store (256-Kbps AAC encoding). Volume was set to 50%. Testing consisted of full AirPods battery discharge while playing audio until the first AirPod stopped playback. Battery life depends on device settings, environment, usage, and many other factors.      (8)Testing conducted by Apple in February 2019 using preproduction AirPods (2nd generation), Charging Case, and Wireless Charging Case units and software paired with iPhone XS Max units and prerelease software. The playlist consisted of 358 unique audio tracks purchased from the iTunes Store (256-Kbps AAC encoding). Volume was set to 50%. 15-Minute charge testing conducted with drained AirPods that were charged for 15 minutes, then audio playback was started until the first AirPod stopped playback. Battery life depends on device settings, environment, usage, and many other factors.      (9)Testing conducted by Apple in February 2019 using preproduction AirPods (2nd generation), Charging Case, and Wireless Charging Case units and software paired with iPhone XS Max units and prerelease software. Volume was set to 50%. 15-Minute charge testing conducted with drained AirPods that were charged for 15 minutes, then a cellular phone call was started until the first AirPod stopped playing call audio. Battery life depends on device settings, environment, usage, and many other factors.   ","['Automatically on, automatically connected', 'Easy setup for all your apple devices(2)', 'Quick access to Siri by saying ""Hey Siri""', 'Double-tap to play or skip forward', 'New Apple H1 headphone clip delivers faster wireless connection to your devices', 'Charges quickly in the case', 'Case can be charged using the lightning connector', 'Rich, high-quality audio and voice', 'Seamless switching between devices', 'Listen and talk all day with multiple charges from the Charging Case(3).', 'Condition : New']"
Apple AirPods Pro,Walmart #  577856461,4.6,2286 ratings,$194.00,"['Headphone Type', 'Headphone Style', 'Wireless', 'Recommended Use', 'Compatible Devices', 'Wireless Technology']","['In-Ear Headphones', 'In-Ear', 'True Wireless', '1', '1', 'Bluetooth']","Active Noise Cancellation for immersive sound. Transparency mode for hearing and connecting with the world around you. A more customizable fit for all-day comfort. Sweat and water resistant (1). All in a super light, in-ear headphone that?s easy to set up with all your Apple devices. (2)    Key Features   Active Noise Cancellation for immersive sound Transparency mode for hearing and connecting with the world around you Three sizes of soft, tapered silicone tips for a customizable fit Sweat and water resistant (1) Adaptive EQ automatically tunes music to the shape of your ear Easy setup for all your Apple devices (2) Quick access to Siri by saying ?Hey Siri? (3) The Wireless Charging Case delivers more than 24 hours of battery life (4)    Legal     (1) AirPods Pro are sweat and water resistant for non-water sports and exercise and are IPX4 rated. Sweat and water resistance are not permanent conditions. The charging case is not sweat or water resistant.       (2) Requires an iCloud account and macOS 10.14.4, iOS 12.2, iPadOS, watchOS 5.2, or tvOS 13.2 or later.         (3) Siri may not be available in all languages or in all areas, and features may vary by area.         (4) Battery life varies by use and configuration. See apple.com/batteries for details.     ","['Active Noise Cancellation for immersive sound', 'Transparency mode for hearing and connecting with the world around you', 'Three sizes of soft, tapered silicone tips for a customizable fit', 'Sweat and water resistant (1)', 'Adaptive EQ automatically tunes music to the shape of your ear', 'Easy setup for all your Apple devices (2)', 'Quick access to Siri by saying ?Hey Siri? (3)', 'The Wireless Charging Case delivers more than 24 hours of battery life (4)']"
Apple AirPods with Wireless Charging Case (Latest Model),Walmart #  574839612,4.7,1558 ratings,$159.99, , ,"The new AirPods combine intelligent design with breakthrough technology and crystal clear sound. Powered by the new Apple H1 headphone chip, AirPods now feature hands-free access to Siri using just your voice. And up to 3 hours of talk time on a single charge.Key Features   Automatically on, automatically connected Easy setup for all your apple devices(2) Quick access to Siri by saying ""Hey Siri"" Double-tap to play or skip forward New Apple H1 headphone clip delivers faster wireless connection to your devices Charges quickly in the case Case can be charged either wirelessly using a Qi-compatible charging mat or using the Lightning connector Rich, high-quality audio and voice Seamless switching between devices Listen and talk all day with multiple charges from the Wireless Charging Case(3)      Legal       (1)Battery life depends on device settings, environment, usage, and many other factors. (2)Requires an iCloud account and macOS 10.14.4, iOS 12.2, or watchOS 5.2. (3)Battery life varies by use and configuration. (4)Requires latest version of iOS. (5) Battery life depends on device settings, environment, usage, and many other factors. (6)Testing conducted by Apple in February 2019 using preproduction AirPods (2nd generation), Charging Case, and Wireless Charging Case units and software paired with iPhone XS Max units and prerelease software. Volume was set to 50%. Testing consisted of full AirPods battery discharge with a cellular phone call until the first AirPod stopped playing call audio. The drained AirPods were charged to 100 percent, then the cellular phone call was restarted until the first AirPod stopped playing call audio. This cycle was repeated until both the AirPods and charging case were fully discharged. Battery life depends on device settings, environment, usage, and many other factors. (7)Testing conducted by Apple in February 2019 using preproduction AirPods (2nd generation), Charging Case, and Wireless Charging Case units and software paired with iPhone XS Max units and prerelease software. The playlist consisted of 358 unique audio tracks purchased from the iTunes Store (256-Kbps AAC encoding). Volume was set to 50%. Testing consisted of full AirPods battery discharge while playing audio until the first AirPod stopped playback. Battery life depends on device settings, environment, usage, and many other factors. (8)Testing conducted by Apple in February 2019 using preproduction AirPods (2nd generation), Charging Case, and Wireless Charging Case units and software paired with iPhone XS Max units and prerelease software. The playlist consisted of 358 unique audio tracks purchased from the iTunes Store (256-Kbps AAC encoding). Volume was set to 50%. 15-Minute charge testing conducted with drained AirPods that were charged for 15 minutes, then audio playback was started until the first AirPod stopped playback. Battery life depends on device settings, environment, usage, and many other factors. (9)Testing conducted by Apple in February 2019 using preproduction AirPods (2nd generation), Charging Case, and Wireless Charging Case units and software paired with iPhone XS Max units and prerelease software. Volume was set to 50%. 15-Minute charge testing conducted with drained AirPods that were charged for 15 minutes, then a cellular phone call was started until the first AirPod stopped playing call audio. Battery life depends on device settings, environment, usage, and many other factors.    ","['Automatically on, automatically connected', 'Easy setup for all your apple devices(2)', 'Quick access to Siri by saying ""Hey Siri""', 'Double-tap to play or skip forward', 'New Apple H1 headphone clip delivers faster wireless connection to your devices', 'Charges quickly in the case', 'Case can be charged either wirelessly using a Qi-compatible charging mat or using the Lightning connector', 'Rich, high-quality audio and voice', 'Seamless switching between devices', 'Listen and talk all day with multiple charges from the Wireless Charging Case(3)']"
Beats Flex – All-Day Wireless Earphones – Beats Black,Walmart #  586769821, ,Write a review,$49.88,"['Headphone Type', 'Headphone Style', 'Compatible Devices', 'Wireless Technology']","['In-Ear Headphones', 'In-Ear', 'iPhone|MacBook|iPad|Apple Watch|Apple TV|iPod Touch', 'Bluetooth']","Stay connected to the world you love with all-day wireless Beats Flex earphones. In your ears or around your neck, they’re as versatile as the life you lead. With up 12 hours of battery life1, you’ll always be ready for whatever the day (or night) may bring. Enjoy rich, powerful sound with both accurate bass and low distortion across the frequency curve.Magnetic earbuds make listening that much easier with Auto-Play/Pause2, playing music when they’re in your ears and pausing when they’re connected around your neck. The Flex-Form cable provides all-day comfort with durable Nitinol construction while four eartip options offer a personalized fit. And when you’re not wearing them, the magnetic earbuds keep Beats Flex tangle-free as they easily coil up into your pocket or purse.Beats Flex – All-Day Wireless Earphones – Beats Black  Magnetic earbuds with Auto-Play/Pause Up to 12 hours of listening time All-day comfort with Flex-Form cable and four eartip options Powered by the Apple W1 headphone chip for seamless connectivity Audio Sharing lets you wirelessly share audio with another pair of Beats headphones or AirPods Class 1 Bluetooth® for extended range and fewer dropouts On-device controls for music, calls, and voice assistant Built-in microphone with wind reduction for elevated voice clarity Compatible with Apple and Android  What’s in the box:  Beats Flex wireless earphones USB-C to USB-C charging cable Eartips with four size options Quick Start Guide Warranty card  ","['Magnetic earbuds with Auto-Play/Pause', 'Up to 12 hours of listening time', 'All-day comfort with Flex-Form cable and four eartip options', 'Powered by the Apple W1 headphone chip for seamless connectivity', 'Audio Sharing lets you wirelessly share audio with another pair of Beats headphones or AirPods', 'Class 1 Bluetooth® for extended range and fewer dropouts', 'On-device controls for music, calls, and voice assistant', 'Built-in microphone with wind reduction for elevated voice clarity', 'Compatible with Apple and Android']"
"JLab Audio JBuds Air True Wireless Signature Bluetooth Earbuds + Charging Case - IP55 Sweat Resistance - Bluetooth 5.0 Connection - 3 EQ Sound Settings: JLab Signature, Balanced, Bass Boost - Black",Walmart #  570332683,4.0,1207 ratings,$49.88,"['Headphone Type', 'Headphone Style', 'Wireless', 'Recommended Use', 'Compatible Devices', 'Wireless Technology']","['Wireless Headphones', 'In-Ear', 'True Wireless', '1', 'iPhone, iPad, Galaxy, One, Surface, Android, iOS, Tablets, Mobile Devices', 'Bluetooth']","GO light as air. Time to GO on the move, in a pinch, out the door. Grab your JBuds Air True Wireless Earbuds as you head to work, get to the gym, or jump on an airplane. A 3-4-hour battery life with Bluetooth 5.0 gives you just enough power to get through those music moments. Their innovative charging case provides 10 extra hours to the earbuds so you can charge back up quickly. Automatically turning on and connecting to each other right out of the case, they provide hassle-free technology. Perfect for on-the-GO moments.Auto On & Playtime  JBuds Air automatically turn on and connect to each other once taken out of their charge case so you can keep going hassle-free. A Bluetooth 5.0 connection keeps you going for 3-4 hours in each earbud plus 7 extra hours of charge in the case.  *Since launch the JBuds Air have included Bluetooth 5. The package wasn't updated in time for the launch so note that your package may say Bluetooth 4.2. Enjoy the upgraded Bluetooth 5.   Custom EQ3 Sound  Choose the sound to match your personal preference between three options: Signature, Balanced, and Bass Boost modes ? without an app. Crystal clear sound, no matter what.   Control It All  Control all your music and volume with a tap or two on the outside of the earbud. Utilize the built-in microphone to activate Siri, Google Assistant, or take phone calls and keep GOing on the move.   Everyday Proof  An IP55 sweat resistance helps the earbuds hold up against moisture and dirt so you never have to worry during any hobby, travel, or workout.","['Quality', 'Battery life', 'Setup', 'Ease of use', 'Comfort', 'Wearing', 'Music', 'Construction', 'Fit', 'Value for money', 'Appearance', 'Ears']"
